Date	Venue	Result	Scored	Competition
18 October 1999	Mong Kok Stadium , Hong Kong	4–1	0	2000 AFC Asian Cup qualification
24 October 1999	Mong Kok Stadium , Hong Kong	1–1	0	2000 AFC Asian Cup qualification
25 April 2000	Hong Kong Stadium , Hong Kong	0–1	0	Friendly
8 October 2000	Hong Kong	1–0	0	Friendly
10 December 2000	Hong Kong Stadium , Hong Kong	1–2	0	Friendly
4 March 2001	Hong Kong Stadium , Hong Kong	1–1	0	2002 FIFA World Cup qualification
8 March 2001	Hong Kong Stadium , Hong Kong	0–2	0	2002 FIFA World Cup qualification
11 March 2001	Hong Kong Stadium , Hong Kong	0–2	0	2002 FIFA World Cup qualification
20 March 2001	Al Sadd Stadium , Doha , Qatar	0–1	0	2002 FIFA World Cup qualification
23 March 2001	Al Sadd Stadium , Doha , Qatar	2–1	0	2002 FIFA World Cup qualification
25 March 2001	Al Sadd Stadium , Doha , Qatar	0–3	0	2002 FIFA World Cup qualification
22 February 2003	Hong Kong Stadium , Hong Kong	2–0	0	2003 EAFF Championship Preliminary
24 February 2003	Hong Kong Stadium , Hong Kong	3–0	0	2003 EAFF Championship Preliminary
2 March 2003	Hong Kong Stadium , Hong Kong	11–0	1	2003 EAFF Championship Preliminary
25 March 2003	Mong Kok Stadium , Hong Kong	5–1	2	2004 AFC Asian Cup preliminary
30 March 2003	Mong Kok Stadium , Hong Kong	2–2	0	2004 AFC Asian Cup preliminary
23 August 2009	World Games Stadium , Kaohsiung , Taiwan	4–0	0	2010 EAFF Championship Semi-Finals
