Name	Location	Elevation + Height	Delivery	Purpose	Yield
Yucca	Pacific Ocean	0 + kilometres (mi)	Balloon	Weapon effect	1.7 kt
Cactus	Enewetak, Runit (Yvonne)	metres (ft) + metres (ft)	Dry surface	Weapons development	18 kt
Fir	Bikini, Namu (Charlie)	0 + metres (ft)	Barge	Weapons development	1.4 Mt
Butternut	Enewetak, Runit (Yvonne)	0 + metres (ft)	Barge	Weapons development	81 kt
Koa	Enewetak, Teiter (Gene)	metres (ft) + metres (ft)	Dry surface	Weapons development	1.4 Mt
Wahoo	Enewetak, Pokon (Irvin)	0 - metres (ft)	Underwater	Weapon effect	9 kt
Holly	Enewetak, Runit (Yvonne)	0 + metres (ft)	Barge	Weapons development	5.9 kt
Nutmeg	Bikini, Eninmen (Tare)	0 + metres (ft)	Barge	Weapons development	25.1 kt
Yellowwood	Enewetak, Enjebi (Janet)	0 + metres (ft)	Barge	Weapons development	330 kt
Magnolia	Enewetak, Runit (Yvonne)	0 + metres (ft)	Barge	Weapons development	57 kt
Tobacco	Enewetak, Enjebi (Janet)	0 + metres (ft)	Barge	Weapons development	11.6 kt
Sycamore	Bikini, Namu (Charlie)	0 + metres (ft)	Barge	Weapons development	92 kt
Rose	Enewetak, Runit (Yvonne)	0 + metres (ft)	Barge	Weapons development	15 kt
Umbrella	Enewetak, Pokon (Irvin)	0 - metres (ft)	Underwater	Weapon effect	8 kt
Maple	Bikini, Yurochi aka Irioj (Dog)	0 + metres (ft)	Barge	Weapons development	213 kt
Aspen	Bikini, Namu (Charlie)	0 + metres (ft)	Barge	Weapons development	319 kt
Walnut	Enewetak, Enjebi (Janet)	0 + metres (ft)	Barge	Weapons development	1.5 Mt
Linden	Enewetak, Runit (Yvonne)	0 + metres (ft)	Barge	Weapons development	11 kt
Redwood	Bikini, Yurochi aka Irioj (Dog)	0 + metres (ft)	Barge	Weapons development	412 kt
Elder	Enewetak, Enjebi (Janet)	0 + metres (ft)	Barge	Weapons development	880 kt
Oak	Enewetak, Bogallua (Alice)	0 + metres (ft)	Barge	Weapons development	8.9 Mt
Hickory	Bikini, Eninmen (Tare)	0 + metres (ft)	Barge	Weapons development	14 kt
Sequoia	Enewetak, Runit (Yvonne)	0 + metres (ft)	Barge	Weapons development	5.2 kt
Cedar	Bikini, Namu (Charlie)	0 + metres (ft)	Barge	Weapons development	220 kt
Dogwood	Enewetak, Enjebi (Janet)	0 + metres (ft)	Barge	Weapons development	397 kt
Poplar	Bikini, Namu (Charlie)	0 + metres (ft)	Barge	Weapons development	9.3 Mt
Scaevola	Enewetak, Runit (Yvonne)	metres (ft) + metres (ft)	Barge	Safety experiment	no yield
Pisonia	Enewetak, Runit (Yvonne)	0 + metres (ft)	Barge	Weapons development	255 kt
Juniper	Bikini, Eninmen (Tare)	0 + metres (ft)	Barge	Weapons development	65 kt
Olive	Enewetak, Enjebi (Janet)	0 + metres (ft)	Barge	Weapons development	202 kt
Pine	Enewetak, Enjebi (Janet)	0 + metres (ft)	Barge	Weapons development	2 Mt
Pinon (cancelled)	Pacific Ocean	0 + 0	Atmospheric	Weapon effect	unknown yield
Teak	Johnston Island	N/A + kilometres (mi)	High altitude rocket (30-80km)	Weapon effect	3.8 Mt
Quince	Enewetak, Runit (Yvonne)	metres (ft) + metres (ft)	Dry surface	Weapons development	no yield
Orange	Johnston Island	N/A + kilometres (mi)	High altitude rocket (30-80km)	Weapon effect	3.8 Mt
Fig	Enewetak, Runit (Yvonne)	metres (ft) + metres (ft)	Dry surface	Weapons development	20 t
