Team	Car(s)	Driver(s)	Primary Sponsor(s)	Owner(s)	Crew Chief	Rounds
Biagi-DenBeste Racing	Ford Mustang	Kevin Swindell (R)	Carroll Shelby Engines	Mike Curb	Jon Hanson	11
Creation-Cope Racing	Chevrolet Camaro	Derrike Cope	n/a	Derrike Cope	Jacob Richardson	4
Deware Racing Group	Ford Mustang	Kevin Lepage	Qello	Scott Deware	Larry Balsitis	3
Joe Gibbs Racing	Toyota Camry	Matt Kenseth	Reser's / GameStop	Joe Gibbs	Matt Lucas	14
JR Motorsports	Chevrolet Camaro	Dale Earnhardt, Jr.	TaxSlayer.com	Dale Earnhardt, Jr.	Ryan Pemberton	4
KH Motorsports	Ford Mustang	Dexter Stacey (R)	Maddie's Place	Kristin Hamelin	David Ingram	18
Make Motorsports	Chevrolet Silverado	Danny Efland	Defiant Whisky	Mark Beaver	Perry Mitchell	5
ML Motorsports	Chevrolet Impala	Johanna Long	Foretravel Motorcoach	Mary Louise Miller	Mark Gutekunst	21
NEMCO-Jay Robinson Racing	Toyota Camry	Tony Raines	n/a	Mary Louise Miller	Jay Robinson	15
R3 Motorsports	Chevrolet Camaro	Robert Richardson, Jr.	StalkIt	Robert Richardson	Tony Eury, Jr.	12
Richard Childress Racing	Chevrolet Camaro	Dakoda Armstrong	Winfield [ disambiguation needed ]/Mudd.com	Richard Childress	Scott Naset	9
Rick Ware Racing	Ford Mustang	Carl Long	Qolix	Rick Ware	Sterling Laughlin	18
Rick Ware Racing	Ford Mustang	Donnie Neuenberger	n/a	Robert Richardson	George Church	16
Roush Fenway Racing	Ford Mustang	Chris Buescher / Ryan Reed	American Diabetes Association	Jack Roush	Seth Barbour	11
Shepherd Racing Ventures	Dodge Challenger	Morgan Shepherd	Malamphy Electric	Morgan Shepherd	Mike Malamphy	15
Team SLR	Chevrolet Impala	Scott Lagasse, Jr. / Ryan Preece	HybridLight / Boy Scouts of America	Scott Lagasse	Brad Parrott	19
The Motorsports Group	Chevrolet Camaro	Josh Wise	Curtis Key Plumbing	Curtis Key	Mike Sroufe	25
The Motorsports Group	Chevrolet Camaro	J. J. Yeley	Curtis Key Plumbing	Curtis Key	David Jones	20
The Motorsports Group	Chevrolet Camaro	T. J. Bell	Curtis Key Plumbing	Curtis Key	Steve Maynard	5
Turner Scott Motorsports	Chevrolet Camaro	Jeb Burton	Arrowhead Cigarettes	Harry Scott, Jr.	Mike Greci	5
Vision Racing	Toyota Camry	Tanner Berryhill	Keller Williams Realty	Adrian Berryhill	Benny Gordon	6
Vision Racing	Toyota Camry	Matt DiBenedetto	NationalCashLenders.com	Tina Berryhill	Adrian Berryhill	8
Viva Motorsports with Frank Cicci	Chevrolet Camaro	Jamie Dick	VIVA Automotive Group	Jimmy Dick	Jason Miller	15
