Year	Superintendent	Middlesex Principal	Gorham Principal	Middle School Principal	High School Principal
1999-2000	Charlie Wiltse	Cynthia Martone	Jackie Metz	Keith Eddinger	Dean Duffy
2000-2001	Charlie Wiltse	Cynthia Martone	Jackie Metz	Keith Eddinger	Dean Duffy
2001-2002	Charlie Wiltse	Cynthia Martone	Jackie Metz	Keith Eddinger	Lynn Muscarella
2002-2003	Keith Eddinger	Cynthia Martone	Jackie Metz	Bill Rotenberg	Lynn Muscarella
2003-2004	Keith Eddinger	Cynthia Martone	Jackie Metz	Bill Rotenberg	Lynn Muscarella
2004-2005	Keith Eddinger	Paul Lahue	Mike Pullen	Alan Degroote	Sue Wissick
2005-2006	Oren Cook	Paul Lahue	Mike Pullen	Alan Degroote	Sue Wissick
2006-2007	Oren Cook	Sue Wissick	Paul Lahue	Alan Degroote	Mark Sissell
2007-2008	Oren Cook	Sue Wissick	Paul Lahue	Alan Degroote	Mark Sissell
2008-2009	Mike Chirco	Sue Wissick	Paul Lahue	Clay Cole	Alan Degroote
2009-2010	Mike Chirco	Sue Wissick	Paul Lahue	Clay Cole	Alan Degroote
2010-2011	Mike Chirco	Sue Wissick	Paul Lahue	Clay Cole	Alan Degroote
2011-2012	Mike Chirco	Sue Wissick	Paul Lahue	Clay Cole	Alan Degroote
