Place	Player	Country	Score	To par
T1	Bobby Nichols	United States	70-72-70=212	–1
T1	Arnold Palmer	United States	71-68-73=212	–1
T3	Phil Rodgers	United States	74-70-69=213	E
T3	Bob Rosburg	United States	70-69-74=213	E
T5	Jack Nicklaus	United States	72-70-72=214	+1
T5	Gary Player	South Africa	71-71-72=214	+1
6	Gene Littler	United States	69-74-72=215	+2
7	Billy Maxwell	United States	71-70-75=216	+3
8	Art Wall, Jr.	United States	73-72-72=217	+4
T9	Gay Brewer	United States	73-72-73=218	+5
T9	Tommy Jacobs	United States	74-71-73=218	+5
