Rider	Manufacturer	Laps	Time	Grid
Jorge Lorenzo	Yamaha	28	45:53.089	1
Dani Pedrosa	Honda	28	+1.817	2
Valentino Rossi	Yamaha	28	+12.723	3
Colin Edwards	Yamaha	28	+17.223	5
John Hopkins	Kawasaki	28	+23.752	10
Casey Stoner	Ducati	28	+26.688	9
James Toseland	Yamaha	28	+32.631	6
Chris Vermeulen	Suzuki	28	+36.382	13
Loris Capirossi	Suzuki	28	+38.268	12
Shinya Nakano	Honda	28	+39.476	11
Alex de Angelis	Honda	28	+1:01.306	16
Toni Elias	Ducati	28	+1:03.867	14
Marco Melandri	Ducati	28	+1:09.525	17
Sylvain Guintoli	Ducati	28	+1:09.634	18
Randy de Puniet	Honda	28	+1:11.542	8
Anthony West	Kawasaki	28	+1:23.629	15
Nicky Hayden	Honda	16	Accident	4
Andrea Dovizioso	Honda	15	Accident	7
