Driver	Team	Laps	Time/Retired	Grid	Points
Sébastien Bourdais	Newman/Haas Racing	67	2:01:09.290	1	35
Paul Tracy	Forsythe Racing	67	+1.398 secs	4	27
Nelson Philippe	CTE Racing-HVM	67	+2.750 secs	10	26
Dan Clarke	CTE Racing-HVM	67	+3.120 secs	8	23
Will Power	Team Australia	67	+6.359 secs	7	21
Nicky Pastorelli	Rocketsports Racing	67	+7.432 secs	17	20
Alex Tagliani	Team Australia	67	+8.321 secs	12	17
Charles Zwolsman	Mi-Jack Conquest Racing	67	+8.410 secs	11	15
Jan Heylen	Dale Coyne Racing	67	+10.529 secs	14	13
Mario Domínguez	Dale Coyne Racing	67	+10.618 secs	15	11
Antônio Pizzonia	Rocketsports Racing	67	+11.266 secs	13	11
Bruno Junqueira	Newman/Haas Racing	66	+ 1 Lap	6	9
Katherine Legge	PKV Racing	61	+ 6 Laps	16	8
Justin Wilson	RuSPORT	48	Contact	3	8
Andrew Ranger	Mi-Jack Conquest Racing	36	Contact	9	6
Oriol Servià	PKV Racing	30	Contact	5	5
A. J. Allmendinger	Forsythe Racing	14	Driveshaft	2	5
