Club	Played	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Club	Played	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Tonmawr RFC	22	0	2	714	269	91	21	13	2	95
Whitland RFC	22	2	7	449	330	51	36	7	3	66
Corus (Port Talbot) RFC	22	1	9	496	450	54	49	6	3	59
Bonymaen RFC	22	0	10	477	372	49	36	4	7	59
Bridgend Athletic RFC	22	1	9	413	415	49	48	4	4	58
Narberth RFC	22	0	11	407	445	54	52	6	4	54
Felinfoel RFC	22	0	11	402	563	46	69	3	3	50
Llangennech RFC	22	0	11	410	431	41	45	3	3	50
Bridgend Ravens	22	1	13	448	442	54	42	5	7	46
Carmarthen Athletic RFC	22	0	13	398	436	42	51	3	6	45
Builth Wells RFC	22	1	14	412	583	45	73	3	4	37
Cwmllynfell RFC	22	0	19	360	650	35	89	0	5	17
Correct as of 3 August 2010	Correct as of 3 August 2010	Correct as of 3 August 2010	Correct as of 3 August 2010	Correct as of 3 August 2010	Correct as of 3 August 2010	Correct as of 3 August 2010	Correct as of 3 August 2010	Correct as of 3 August 2010	Correct as of 3 August 2010	Correct as of 3 August 2010
