Heat	Name	Nationality	Reaction	Result
1	LoLo Jones	United States	0.172	12.43
2	Damu Cherry	United States	0.189	12.62
2	Dawn Harper	United States	0.191	12.66
1	Delloreen Ennis-London	Jamaica	0.145	12.67
1	Priscilla Lopes-Schliep	Canada	0.159	12.68
1	Sally McLellan	Australia	0.140	12.70
2	Brigitte Foster-Hylton	Jamaica	0.162	12.76
2	Sarah Claxton	Great Britain	0.145	12.84
2	Vonette Dixon	Jamaica	0.237	12.86
1	Josephine Onyia	Spain	0.203	12.86
1	Aurelia Trywiańska-Kollasch	Poland	0.118	12.96
1	Carolin Nytra	Germany	0.144	12.99
2	Reïna-Flor Okori	France	0.153	13.05
1	Nevin Yanit	Turkey	0.201	13.28
2	Susanna Kallur	Sweden	0.198	DNF
2	Anay Tejeda	Cuba	0.156	DNF
