Position	Team	Played	Drawn	Lost	Goals For	Goals Against	Goal Difference	Points 1
1	Clitheroe	34	7	5	79	29	+50	51
2	Padiham	34	8	7	58	34	+24	46
3	Ashton Town	34	7	8	54	42	+12	45
4	Oldham Dew	34	9	8	63	37	+26	43
5	Daisy Hill	34	3	12	54	40	+14	41
6	Maghull	34	8	10	60	50	+10	40
7	Blackpool Mechanics	34	5	12	70	49	+21	39
8	Atherton Collieries	34	9	11	54	50	+4	37
9	Vulcan Newton	34	8	11	64	54	+10	36 2
10	Prestwich Heys	34	5	14	61	59	+2	33 2
11	Whitworth Valley	34	8	15	45	53	−8	30
12	Bolton ST	34	10	14	49	64	−15	30
13	Bacup Borough	34	9	14	65	60	+5	27 3
14	Nelson	34	10	16	49	55	−6	26
15	Cheadle Town	34	8	17	39	67	−28	26
16	Urmston Town	34	9	18	35	67	−32	23
17	Newton	34	4	22	33	63	−30	20
18	Ashton Athletic	34	3	27	30	89	−59	11
