Conference	Division	Team	City	Home Arena
Eastern	Atlantic	Boston Celtics	Boston, Massachusetts	TD Garden
Eastern	Atlantic	Brooklyn Nets	New York, New York ( Brooklyn )	Barclays Center
Eastern	Atlantic	New York Knicks	New York, New York ( Manhattan )	Madison Square Garden
Eastern	Atlantic	Philadelphia 76ers	Philadelphia, Pennsylvania	Wells Fargo Center
Eastern	Atlantic	Toronto Raptors	Toronto, Ontario	Air Canada Centre
Eastern	Central	Chicago Bulls	Chicago, Illinois	United Center
Eastern	Central	Cleveland Cavaliers	Cleveland, Ohio	Quicken Loans Arena
Eastern	Central	Detroit Pistons	Auburn Hills, Michigan	The Palace of Auburn Hills
Eastern	Central	Indiana Pacers	Indianapolis, Indiana	Bankers Life Fieldhouse
Eastern	Central	Milwaukee Bucks	Milwaukee, Wisconsin	BMO Harris Bradley Center
Eastern	Southeast	Atlanta Hawks	Atlanta, Georgia	Philips Arena
Eastern	Southeast	Charlotte Bobcats	Charlotte, North Carolina	Time Warner Cable Arena
Eastern	Southeast	Miami Heat	Miami, Florida	AmericanAirlines Arena
Eastern	Southeast	Orlando Magic	Orlando, Florida	Amway Center
Eastern	Southeast	Washington Wizards	Washington, D.C.	Verizon Center
Western	Northwest	Denver Nuggets	Denver, Colorado	Pepsi Center
Western	Northwest	Minnesota Timberwolves	Minneapolis, Minnesota	Target Center
Western	Northwest	Oklahoma City Thunder	Oklahoma City, Oklahoma	Chesapeake Energy Arena
Western	Northwest	Portland Trail Blazers	Portland, Oregon	Rose Garden
Western	Northwest	Utah Jazz	Salt Lake City, Utah	EnergySolutions Arena
Western	Pacific	Golden State Warriors	Oakland, California	Oracle Arena
Western	Pacific	Los Angeles Clippers	Los Angeles, California	Staples Center
Western	Pacific	Los Angeles Lakers	Los Angeles, California	Staples Center
Western	Pacific	Phoenix Suns	Phoenix, Arizona	US Airways Center
Western	Pacific	Sacramento Kings	Sacramento, California	Sleep Train Arena
Western	Southwest	Dallas Mavericks	Dallas, Texas	American Airlines Center
Western	Southwest	Houston Rockets	Houston, Texas	Toyota Center
Western	Southwest	Memphis Grizzlies	Memphis, Tennessee	FedExForum
Western	Southwest	New Orleans Pelicans	New Orleans, Louisiana	New Orleans Arena
Western	Southwest	San Antonio Spurs	San Antonio, Texas	AT&T Center
