Year	Connecticut	Maine	Massachusetts	New Hampshire	Rhode Island	Vermont
2001	Yalesville LL Wallingford	Lincoln County LL Damariscotta	Pittsfield South LL Pittsfield	Manchester East LL Manchester	Lincoln LL Lincoln	South Burlington LL South Burlington
2002	Orange LL Orange	Westbrook LL Westbrook	Jesse Burkett LL Worcester	Portsmouth LL Portsmouth	Portsmouth LL Portsmouth	Essex Junction LL Essex Junction
2003	North Stamford LL Stamford	Augusta West LL Augusta	Saugus American LL Saugus	Rye LL Rye	Lincoln LL Lincoln	South Burlington LL South Burlington
2004	Berlin LL Berlin	West Biddeford LL Biddeford	Jesse Burkett LL Worcester	Portsmouth LL Portsmouth	Lincoln LL Lincoln	Essex Junction LL Essex Junction
2005	Farmington LL Farmington	Westbrook LL Westbrook	Dudley LL Dudley	Bedford LL Bedford	Cranston Western LL Cranston	Shelburne LL Shelburne
2006	Glastonbury American LL Glastonbury	Yarmouth LL Yarmouth	Peabody Western LL Peabody	Portsmouth LL Portsmouth	Lincoln LL Lincoln	Colchester LL Colchester
2007	Shelton National LL Shelton	Portland North LL Portland	Walpole American LL Walpole	Portsmouth LL Portsmouth	Cranston Western LL Cranston	Essex Junction LL Essex Junction
2008	Shelton National LL Shelton	Camden-Rockport LL Camden	Parkway National LL Boston (West Roxbury)	Manchester North LL Manchester	Cranston Western LL Cranston	Williston LL Williston
2009	Glastonbury National LL Glastonbury	Bangor East LL Bangor	Peabody Western LL Peabody	Portsmouth LL Portsmouth	Lincoln LL Lincoln	Brattleboro LL Brattleboro
2010	Fairfield American LL Fairfield	Bangor East LL Bangor	Southborough Youth LL Southborough	Portsmouth LL Portsmouth	Cumberland National LL Cumberland	Shelburne LL Shelburne
2011	Fairfield American LL Fairfield	Yarmouth LL Yarmouth	Andover National LL Andover	Goffstown LL Goffstown	Cumberland American LL Cumberland	Barre Community LL Barre
2012	Fairfield American LL Fairfield	Scarborough LL Scarborough	Wellesley South LL Wellesley	Bedford LL Bedford	Coventry American LL Coventry	South Burlington LL South Burlington
