District	Incumbent	Party	First elected	Result	Candidates
Texas 1	Wright Patman	Democratic	1928	Re-elected	Wright Patman (D) 67.3% James Timberlake (R) 32.7%
Texas 2	Jack Brooks	Democratic	1952	Re-elected	Jack Brooks (D) 68.7% Roy James, Jr. (R) 31.3%
Texas 4	Ray Roberts	Democratic	1962	Re-elected	Ray Roberts (D) 72.0% Conner Harrington (R) 28.0%
Texas 5	Bruce R. Alger	Republican	1954	Re-elected	Bruce R. Alger (R) 56.3% Bill Jones (D) 43.7%
Texas 6	Olin E. Teague	Democratic	1946	Re-elected	Olin E. Teague (D) Unopposed
Texas 7	John Dowdy	Democratic	1952	Re-elected	John Dowdy (D) 88.2% Raymond Ramage (R) 11.8%
Texas 9	Clark W. Thompson	Democratic	1947	Re-elected	Clark W. Thompson (D) 66.3% Dave Oaks (R) 33.7%
Texas 10	Homer Thornberry	Democratic	1948	Re-elected	Homer Thornberry (D) 63.3% Jim Dobbs (R) 36.7%
Texas 11	William R. Poage	Democratic	1936	Re-elected	William R. Poage (D) Unopposed
Texas 12	Jim Wright	Democratic	1954	Re-elected	Jim Wright (D) 60.6% Del Barron (R) 39.4%
Texas 15	Joe M. Kilgore	Democratic	1954	Re-elected	Joe M. Kilgore (D) Unopposed
Texas 16	J. T. Rutherford	Democratic	1954	Lost re-election Republican gain	Ed Foreman (R) 53.8% J. T. Rutherford (D) 46.2%
Texas 17	Omar Burleson	Democratic	1946	Re-elected	Omar Burleson (D) Unopposed
Texas 18	Walter E. Rogers	Democratic	1950	Re-elected	Walter E. Rogers (D) 58.8% Jack Seale (R) 41.2%
Texas 19	George H. Mahon	Democratic	1934	Re-elected	George H. Mahon (D) 67.1% Dennis Taylor (R) 32.9%
Texas 20	Henry B. Gonzalez	Democratic	1961	Re-elected	Henry B. Gonzalez (D) Unopposed
Texas 21	O. C. Fisher	Democratic	1942	Re-elected	O. C. Fisher (D) 76.1% E. S. Mayer (R) 23.9%
Texas 22	Robert R. Casey	Democratic	1958	Re-elected	Robert R. Casey (D) 53.5% Ross Baker (R) 46.5%
