Tie no	Home team	Score	Away team	Attendance
1	Sheffield United	1 – 1	Hull City	22,283
replay	Hull City	2 – 1	Sheffield United	17,239
2	Watford	1 – 3	Chelsea	16,851
3	West Ham United	1 – 1	Middlesbrough	33,658
replay	Middlesbrough	2 – 0	West Ham United	15,602
4	Blackburn Rovers	2 – 2	Coventry City	15,053
replay	Coventry City	1 – 0	Blackburn Rovers	22,793
5	Derby County	1 – 4	Manchester United	32,103
6	Swansea City	1 – 1	Fulham	16,573
replay	Fulham	2 – 1	Swansea City	12,316
7	Everton	3 – 1	Aston Villa	35,439
8	Arsenal	3 – 0	Burnley	57,454
