Release date	Country	Classifaction	Publisher	Format	Region	Language	Sound	Subtitles
1 September 2000	Kong Kong	N/A	Deltamac (HK)	NTSC	3 & 6	Cantonese, Mandarin	Unknown	English, Traditional Chinese, Simplified Chinese
14 November 2000	United States	Not Rated	Tai Seng Video	NTSC	1	Cantonese, English	Unknown	English
12 November 2001	United Kingdom	15	Hong Kong Legends	PAL	2	Cantonese, English (Dubbed)	Dolby Digital 2.0	English
3 February 2005	France	Unknown	HK Video	PAL	2	Cantonese	Unknown	French
25 February 2005	Korea	N/A	Spectrum DVD	NTSC	3	Cantonese	Unknown	English, Korean
5 April 2005	United States	R	20th Century Fox	NTSC	1	Cantonese, English	Dolby Digital 5.1 & DTS	English
25 May 2006	Japan	N/A	Universal Pictures Japan	NTSC	2	Cantonese	Unknown	Japanese
7 May 2008	Australia/ New Zealand	M	Magna Pacific	PAL	4	Cantonese, English (Dubbed)	Dolby Digital 2.0	English
2 December 2009	Hong Kong	N/A	Joy Sales (HK)	NTSC	ALL	Cantonese, Mandarin	Dolby Digital 2.0	English, Traditional Chinese, Simplified Chinese
25 December 2012	United Kingdom	N/A	Cine-Asia	PAL	2	Cantonese, English (Dubbed)	Dolby Digital 2.0	English
