Name	Team	Laps	Grid	Points
Lee Holdsworth	Garry Rogers Motorsport	46	4	24
Garth Tander	Toll HSV Dealer Team	46	19	20
Russell Ingall	Stone Brothers Racing	46	9	17
Jamie Whincup	TeamVodafone	46	30	15
Steven Richards	Ford Performance Racing	46	6	13
Jason Richards	Tasman Motorsport	46	5	12
Andrew Jones	Team BOC	46	17	11
Steve Owen	Autobarn Racing	46	21	10
Max Wilson	WPS Racing	46	11	9
Paul Dumbrell	Supercheap Auto Racing	46	25	8
Todd Kelly	Holden Racing Team	46	2	6
Steven Johnson	Jim Beam Racing	46	12	5
Jason Bargwanna	WPS Racing	45	27	4
Craig Lowndes	TeamVodafone	45	1	3
Rick Kelly	Toll HSV Dealer Team	45	15	2
Will Davison	Jim Beam Racing	45	8	0
Simon Wills	Team BOC	45	10	0
Jack Perkins	Jack Daniel's Racing	45	26	0
John Bowe	Paul Cruickshank Racing	45	24	0
Shane Price	Jack Daniel's Racing	45	18	0
Paul Morris	Team Sirromet Wines	45	29	0
Greg Murphy	Tasman Motorsport	45	31	0
Shane Van Gisbergen	Team Kiwi Racing	45	13	0
Mark Winterbottom	Ford Performance Racing	43	3	0
Cameron McConville	Supercheap Auto Racing	43	22	0
Fabian Coulthard	Team Sirromet Wines	34	14	0
Mark Skaife	Holden Racing Team	31	20	0
Alan Gurr	Britek Motorsport	29	28	0
Dean Canto	Garry Rogers Motorsport	27	23	0
Jason Bright	Britek Motosport	22	16	0
James Courtney	Stone Brothers Racing	17	7	0
