Week	Date	Opponent	Result	Attendance
1	September 2, 1984	at Green Bay Packers	L 24-23	53,738
2	September 9, 1984	Buffalo Bills	W 37-7	35,785
3	September 16, 1984	at Indianapolis Colts	W 34-33	60,274
4	September 23, 1984	at New Orleans Saints	L 34-24	58,723
5	September 30, 1984	Miami Dolphins	L 36-28	46,991
6	October 7, 1984	at Dallas Cowboys	W 31-20	61,438
7	October 14, 1984	Chicago Bears	W 38-21	49,554
8	October 21, 1984	Washington Redskins	W 26-24	50,262
9	October 28, 1984	at Philadelphia Eagles	W 34-14	54,310
10	November 4, 1984	Los Angeles Rams	L 16-13	51,010
11	November 11, 1984	Dallas Cowboys	L 24-17	48,721
12	November 18, 1984	at New York Giants	L 16-10	73,428
13	November 25, 1984	Philadelphia Eagles	W 17-16	39,858
14	December 2, 1984	at New England Patriots	W 33-10	53,558
15	December 9, 1984	New York Giants	W 31-21	49,973
16	December 16, 1984	at Washington Redskins	L 29-27	54,299
