Week	Date	Opponent	Result	Venue	Attendance
1	September 17, 1961	Detroit Lions	L 17-13	Milwaukee County Stadium	44,307
2	September 24, 1961	San Francisco 49ers	W 30-10	City Stadium	38,669
3	October 1, 1961	Chicago Bears	W 24-0	City Stadium	38,669
4	October 8, 1961	Baltimore Colts	W 45-7	City Stadium	38,669
5	October 15, 1961	at Cleveland Browns	W 49-17	Cleveland Stadium	75,042
6	October 22, 1961	at Minnesota Vikings	W 33-7	Metropolitan Stadium	42,007
7	October 29, 1961	Minnesota Vikings	W 28-10	Milwaukee County Stadium	44,112
8	November 5, 1961	at Baltimore Colts	L 45-21	Memorial Stadium	57,641
9	November 12, 1961	at Chicago Bears	W 31-28	Wrigley Field	49,711
10	November 19, 1961	Los Angeles Rams	W 35-17	City Stadium	38,669
11	November 23, 1961	at Detroit Lions	W 17-9	Tiger Stadium	55,662
12	December 3, 1961	New York Giants	W 20-17	Milwaukee County Stadium	47,012
13	December 10, 1961	at San Francisco 49ers	L 22-21	Kezar Stadium	55,722
14	December 17, 1961	at Los Angeles Rams	W 24-17	Los Angeles Memorial Coliseum	49,169
