Place	Player	Country	Score	To par
T1	Yuri Fudoh	Japan	66-68=134	−10
T1	Jiyai Shin	South Korea	66-68=134	−10
3	Juli Inkster	United States	65-70=135	−9
T4	Cristie Kerr	United States	71-65=136	−8
T4	Bo Bae Song	South Korea	68-68=136	−8
T6	Natalie Gulbis	United States	69-68=137	−7
T6	Ai Miyazato	Japan	73-69=137	−7
T6	Lorena Ochoa	Mexico	69-68=137	−7
T9	Laura Diaz	United States	66-72=138	−6
T9	Momoko Ueda	Japan	66-72=138	−6
T9	Sophie Gustafson	Sweden	69-69=138	−6
T9	Eun-Hee Ji	South Korea	68-70=138	−6
