Represent	Contestant	Age	Height	Hometown	Sponsor
1	Justine Lissette Pasek Patiño	23	1.72 mts	Panama City	Yogurt Vita Slim
2	Karin Natalie Sempf Kahn	22	1.75 mts	Panama City	Zero Frizz
3	Bertha Giovanna Peric Torres	23	1.78 mts	Panama City	Coca Cola Light
4	Lilibeth Yanina Camaño Frías	23	1.76 mts	Guararé	Figali
5	Melissa del Carmen Bocharel	25	1.68 mts	Panama City	Saba
6	Jessica Doralis Segui Barrios	20	1.70 mts	Los Santos	Muebleria Ancon
7	Katherine Massiel Quirós Vásquez	20	1.71 mts	Veraguas	Jabon Class
8	Lourdes Cristina González Montenegro	21	1.73 mts	Las Tablas	L'oreal
9	Beatriz del Carmen Nogueira Domínguez	18	1.70 mts	Coclé	Mistolin
10	Carolina del Carmen Troncoso Thayer	19	1.74 mts	Panama City	Skoda
11	Melina Franco Fonseca	24	1.75 mts	Panama City	Max Factor
