Player	Nationality	Position	Years for Jazz	School/Club Team
Enes Kanter	Turkey	Center	2011-present	Kentucky
Adam Keefe	United States	Forward	1994-2000	Stanford
Rich Kelley	United States	Forward-Center	1974-79; 1982-85	Stanford
Carl Kilpatrick	United States	Center	1979-80	Louisiana-Monroe
Toby Kimball	United States	Forward	1974-75	Connecticut
Bernard King	United States	Forward	1979-80	Tennessee
Chris King	United States	Forward	1998-99	Wake Forest
Andrei Kirilenko	Russia	Combo forward	2001-11	CSKA Moscow ( Russia )
Brevin Knight	United States	Guard	2008-09	Stanford
Bart Kofoed	United States	Guard-Forward	1987-89	Hastings College
Kyle Korver	United States	Guard-Forward	2007-2010	Creighton
Larry Krystkowiak	United States	Power forward	1992-93	Montana
