Clubs	Position 2010-11	Region	Stadium	Capacity
Samtredia	Umaglesi Liga	Imereti	Erosi Manjgaladze Stadium	15,000
Chikhura Sachkhere	4	Imereti	Tsentral Stadium (Sachkhere)	2,000
Dinamo Batumi	5	Adjara	Batumi Stadium	30,000
Guria Lanchkhuti	6	Guria	Evgrapi Shevardnadze Stadium	22,000
Kolkheti Khobi	7	Samegrelo	Tsentral Stadium (Khobi)	12,000
Imereti Khoni	8	Imereti	Tsentral Stadium (Khoni)	2,000
Meshakhte Tkibuli	9	Imereti	Vladimer Bochorishvili Stadium	11,700
Norchi Dinamoeli Tbilisi	10	Tbilisi	Sport-kompleksi Shatili	2,000
Chkherimela Kharagauli	11	Imereti	Kharagauli Stadium	6,000
Adeli Batumi	12	Adjara	Tsentral Stadium (Batumi)	15,000
Mertskhali Ozurgeti	13	Guria	Megobroba Stadium	3,500
Samgurali Tskhaltubo	14	Imereti	26 May Stadium	12,000
Skuri Tsalenjikha	15	Samegrelo	Sasha Kvaratskhelia Stadium	4,000
Chiatura Sachkhere	16	Imereti	Temur Maghradze Stadium	11,700
Lokomotivi Tbilisi	17	Tbilisi	Mikheil Meskhi Stadium	24,680
Sulori Vani	Meore Liga	Imereti	Grigol Nikoleishvili Stadium	2,500
STU Tbilisi	Meore Liga	Tbilisi	Sport-kompleksi Shatili	2,000
Meskheri Akhaltsikhe	Meore Liga	Samtskhe-Javakheti	Tsentral Stadium (Akhaltsikhe)	4,000
Aeti Sokhumi	Meore Liga	Abkhazia	Sport-kompleksi Shatili	2,000
Zooveti Tbilisi	Meore Liga	Tbilisi	Sportis Akademiis Stadioni	1,000
