Artist	Record label	Released	Chart peak	Number of times certified platinum
Queen	Parlophone	Cannot handle non-empty timestamp argument! 1981	1	11×
ABBA	Polydor	Cannot handle non-empty timestamp argument! 1992	1	14×
The Beatles Category:Articles with hCards	Parlophone	Cannot handle non-empty timestamp argument! 1967	1	3×
Adele	XL	Cannot handle non-empty timestamp argument! 2011	1	16×
Oasis	Creation	Cannot handle non-empty timestamp argument! 1995	1	14×
Michael Jackson Category:Articles with hCards	Epic	Cannot handle non-empty timestamp argument! 1982	1	11×
Dire Straits	Vertigo	Cannot handle non-empty timestamp argument! 1985	1	13×
Pink Floyd	Harvest	Cannot handle non-empty timestamp argument! 1973	2	9×
Michael Jackson Category:Articles with hCards	Epic	Cannot handle non-empty timestamp argument! 1987	1	13×
Queen	Parlophone	Cannot handle non-empty timestamp argument! 1991	1	8×
Madonna	Sire	Cannot handle non-empty timestamp argument! 1990	1	12×
Amy Winehouse Category:Articles with hCards	Island	Cannot handle non-empty timestamp argument! 2006	1	11×
Simply Red	East West	Cannot handle non-empty timestamp argument! 1991	1	12×
Fleetwood Mac	Warner Bros.	Cannot handle non-empty timestamp argument! 1977	1	11×
Shania Twain Category:Articles with hCards	Mercury	Cannot handle non-empty timestamp argument! 1998	1	11×
James Blunt Category:Articles with hCards	Atlantic	Cannot handle non-empty timestamp argument! 2004	1	10×
The Verve Category:Articles with hCards	Hut	Cannot handle non-empty timestamp argument! 1997	1	10×
Simon & Garfunkel	CBS	Cannot handle non-empty timestamp argument! 1970	1	1×
Dido	Cheeky	Cannot handle non-empty timestamp argument! 2000	1	10×
Leona Lewis Category:Articles with hCards	Syco	Cannot handle non-empty timestamp argument! 2007	1	10×
Bob Marley & The Wailers	Island / Tuff Gong	Cannot handle non-empty timestamp argument! 1984	1	6×
Meat Loaf	Epic	Cannot handle non-empty timestamp argument! 1977	9	6×
Original soundtrack	RCA	Cannot handle non-empty timestamp argument! 1987	4	5×
The Beatles Category:Articles with hCards	Apple	Cannot handle non-empty timestamp argument! 2000	1	10×
The Corrs Category:Articles with hCards	Atlantic	Cannot handle non-empty timestamp argument! 1997	1	9×
David Gray Category:Articles with hCards	IHT / East West	Cannot handle non-empty timestamp argument! 1998	1	9×
Spice Girls	Virgin	Cannot handle non-empty timestamp argument! 1996	1	10×
Michael Bublé Category:Articles with hCards	Reprise	Cannot handle non-empty timestamp argument! 2009	1	10×
Dido	Cheeky	Cannot handle non-empty timestamp argument! 2003	1	9×
Take That	Polydor	Cannot handle non-empty timestamp argument! 2006	1	8×
Lady Gaga	Interscope	Cannot handle non-empty timestamp argument! 2009	1	9×
Coldplay	Parlophone	Cannot handle non-empty timestamp argument! 2002	1	9×
Keane	Island	Cannot handle non-empty timestamp argument! 2004	1	9×
U2	Island	Cannot handle non-empty timestamp argument! 1987	1	6×
Phil Collins Category:Articles with hCards	Virgin	Cannot handle non-empty timestamp argument! 1989	1	8×
Scissor Sisters	Polydor	Cannot handle non-empty timestamp argument! 2004	1	9×
Kings of Leon	Hand Me Down	Cannot handle non-empty timestamp argument! 2008	1	9×
Jeff Wayne Category:Articles with hCards	CBS	Cannot handle non-empty timestamp argument! 1978	5	5×
Travis	Independiente	Cannot handle non-empty timestamp argument! 1999	1	9×
Coldplay	Parlophone	Cannot handle non-empty timestamp argument! 2005	1	9×
