Team	Manager	Captain	Kit manufacturer	Shirt sponsor
Arsenal	George Graham	Tony Adams	Adidas	JVC
Aston Villa	Ron Atkinson	Kevin Richardson	Umbro	Mita Copiers
Blackburn Rovers	Kenny Dalglish	Tim Sherwood	Asics	McEwan's Lager
Chelsea	David Webb	Andy Townsend	Umbro	Commodore International
Coventry City	Bobby Gould	Brian Borrows	Ribero	Peugeot
Crystal Palace	Steve Coppell	Geoff Thomas	Bukta (until December) Ribero (from December)	Tulip Computers NV
Everton	Howard Kendall	Dave Watson	Umbro	NEC
Ipswich Town	John Lyall	John Wark	Umbro	Fisons
Leeds United	Howard Wilkinson	Gordon Strachan	Admiral	Admiral
Liverpool	Graeme Souness	Mark Wright	Adidas	Carlsberg Group
Manchester City	Peter Reid	Terry Phelan	Umbro	Brother Industries
Manchester United	Alex Ferguson	Bryan Robson	Umbro	Sharp
Middlesbrough	Lennie Lawrence	Alan Kernaghan	Admiral	Imperial Chemical Industries
Norwich City	Mike Walker	Bryan Gunn	Ribero	Norwich and Peterborough
Nottingham Forest	Brian Clough Category:Articles with hCards	Stuart Pearce	Umbro	Shipstones (home), Labatts (away)
Oldham Athletic	Joe Royle	Mike Milligan	Umbro	JD Sports
QPR	Gerry Francis	David Bardsley	Brooks Running	Classic FM
Sheffield United	Dave Bassett	Brian Gayle	Umbro	Laver
Sheffield Wednesday	Trevor Francis	Nigel Pearson	Umbro	Sanderson
Southampton	Ian Branfoot	Matt Le Tissier	Admiral	Draper Tools
Tottenham Hotspur	Doug Livermore Ray Clemence	Gary Mabbutt	Umbro	Holsten
Wimbledon	Joe Kinnear	John Scales	Admiral	No sponsor
