Version	Length	Album	Remixed by	Year
Album version	4:45	Anamorphosée , Les Mots	—	1995
Single version	4:23	—	Laurent Boutonnat	1995
No voice remix edit	4:20	—	Laurent Boutonnat, Bertrand Châtenet	1995
Extra large remix	5:02	—	Laurent Boutonnat, Bertrand Châtenet	1995
Distorded dance mix	5:20	—	Laurent Boutonnat, Bertrand Châtenet	1995
New remix edit	4:25	—	Laurent Boutonnat, Bertrand Châtenet	1995
Single dance mix	4:25	—	Laurent Boutonnat, Bertrand Châtenet	1995
New remix edit (Germany)	4:43	—	Laurent Boutonnat, Bertrand Châtenet	1995
German radio edit	3:54	—	Laurent Boutonnat, Bertrand Châtenet	1995
Music video	4:22	Music Videos II , Music Videos II & III	—	1995
UK remix	9:00	—	Richard Dekkard	1996
Live version (recorded in 1996)	7:25	Live à Bercy	—	1996
JXL remix	6:06	RemixeS	Junkie XL	2003
Live version (recorded in 2006)	5:28	Avant que l'ombre...	—	2006
Live version (recorded in 2009)	4:30	N°5 on Tour	—	2009
