Nat.	Name	Since	Goals	Ends	Transfer fee
ESP	V. Valdés ( VC3 )	1998	0	2010	Youth system
ITA	Zambrotta	2006	3	2010	€14M
ESP	Puyol ( captain )	1992	6	2010	Youth system
ARG	Milito	2007	1	2011	€17M
FRA	Abidal	2007	0	2011	€15M
ESP	Xavi ( VC2 )	1994	28	2010	Youth system
CIV	Touré Yaya	2007	2	2011	€9M
ESP	A. Iniesta	2002	17	2010	Youth system
ARG	Messi	2004	40	2014	Youth system
CMR	Eto'o	2004	89	2010	€24M
FRA	Henry	2007	14	2011	€24M
ESP	Jorquera	2001	0	2008	Youth system
ESP	Oleguer	2002	1	2010	Youth system
FRA	Thuram	2006	0	2008	€5M
MEX	Márquez	2003	8	2010	€5M
BRA	Sylvinho	2004	3	2008	€2M
BRA	Edmílson	2004	0	2008	€10M
POR BRA	Deco	2004	19	2008	€15M
BRA	Ronaldinho ( VC1 )	2003	89	2010	€30M
ISL	Guðjohnsen	2006	13	2009	€12M
ESP	Bojan	2007	10	2009	Youth system
MEX	Giovani	2007	1	2009	Youth system
ESP	Ezquerro	2005	7	2008	Free
ESP	Pinto	2008	0	2008	loan
