Member	Party	Electorate	State	In office
Hon Tony Abbott	Liberal	Warringah	NSW	1994–present
Hon Dick Adams	Labor	Lyons	Tas	1993–2013
Hon Anthony Albanese	Labor	Grayndler	NSW	1996–present
Hon Kevin Andrews	Liberal	Menzies	Vic	1991–present
Hon Fran Bailey	Liberal	McEwen	Vic	1990–1993, 1996–2010
Hon Bob Baldwin	Liberal	Paterson	NSW	1996–1998, 2001–present
Hon Arch Bevis	Labor	Brisbane	Qld	1990–2010
James Bidgood	Labor	Dawson	Qld	2007–2010
Hon Bruce Billson	Liberal	Dunkley	Vic	1996–present
Sharon Bird	Labor	Cunningham	NSW	2004–present
Hon Bronwyn Bishop	Liberal	Mackellar	NSW	1994–present
Hon Julie Bishop	Liberal	Curtin	WA	1998–present
Hon Chris Bowen	Labor	Prospect	NSW	2004–present
David Bradbury	Labor	Lindsay	NSW	2007–2013
Jamie Briggs [2 ]	Liberal	Mayo	SA	2008–present
Russell Broadbent	Liberal	McMillan	Vic	1990–1993, 1996–1998 2004–present
Anna Burke	Labor	Chisholm	Vic	1998–present
Hon Tony Burke	Labor	Watson	NSW	2004–present
Mark Butler	Labor	Port Adelaide	SA	2007–present
Hon Anthony Byrne	Labor	Holt	Vic	1999–present
Jodie Campbell	Labor	Bass	Tas	2007–2010
Nick Champion	Labor	Wakefield	SA	2007–present
Darren Cheeseman	Labor	Corangamite	Vic	2007–2013
Darren Chester [1 ]	National	Gippsland	Vic	2008–present
Steven Ciobo	Liberal	Moncrieff	Qld	2001–present
Jason Clare	Labor	Blaxland	NSW	2007–present
Hon John Cobb	National	Calare	NSW	2001–present
Julie Collins	Labor	Franklin	Tas	2007–present
Hon Greg Combet	Labor	Charlton	NSW	2007–2013
Hon Peter Costello	Liberal	Higgins	Vic	1990–2009
Mark Coulton	National	Parkes	NSW	2007–present
Hon Simon Crean	Labor	Hotham	Vic	1990–2013
Michael Danby	Labor	Melbourne Ports	Vic	1998–present
Yvette D'Ath	Labor	Petrie	Qld	2007–present
Hon Bob Debus	Labor	Macquarie	NSW	2007–2010
Hon Alexander Downer [2 ]	Liberal	Mayo	SA	1984–2008
Mark Dreyfus	Labor	Isaacs	Vic	2007–present
Hon Peter Dutton	Liberal	Dickson	Qld	2001–present
Hon Justine Elliot	Labor	Richmond	NSW	2004–present
Annette Ellis	Labor	Canberra	ACT	1996–2010
Hon Kate Ellis	Labor	Adelaide	SA	2004–present
Hon Dr Craig Emerson	Labor	Rankin	Qld	1998–2013
Hon Pat Farmer	Liberal	Macarthur	NSW	2001–2010
Hon Laurie Ferguson	Labor	Reid	NSW	1990–present
Hon Martin Ferguson	Labor	Batman	Vic	1996–2013
Hon Joel Fitzgibbon	Labor	Hunter	NSW	1996–present
Paul Fletcher [4 ]	Liberal	Bradfield	NSW	2009–present
John Forrest	National	Mallee	Vic	1993–2013
Hon Peter Garrett	Labor	Kingsford Smith	NSW	2004–2013
Joanna Gash	Liberal	Gilmore	NSW	1996–2013
Steve Georganas	Labor	Hindmarsh	SA	2004–2013
Jennie George	Labor	Throsby	NSW	2001–2010
Petro Georgiou	Liberal	Kooyong	Vic	1994–2010
Steve Gibbons	Labor	Bendigo	Vic	1998–2013
Hon Julia Gillard	Labor	Lalor	Vic	1998–2013
