Rank	Airport	Total Passengers 2008	Total Passengers 2009	Change 2008/09	Aircraft movements 2009
1	London Heathrow Airport	67054745	66036957	1.5%	466393
2	London Gatwick Airport	34205887	32392520	5.3%	251879
3	London Stansted Airport	22360364	19957077	10.7%	167817
4	Manchester Airport	21219195	18724889	11.8%	172515
5	London Luton Airport	10180734	9120546	10.4%	98736
6	Birmingham Airport	9627589	9102899	5.4%	101221
7	Edinburgh Airport	9006702	9049355	0.5%	115969
8	Glasgow International Airport	8178891	7225021	11.7%	85281
9	Bristol Airport	6267114	5642921	10.0%	70245
10	Liverpool John Lennon Airport	5334152	4884494	8.4%	79298
11	East Midlands Airport	5620673	4658151	17.1%	83256
12	Newcastle Airport	5039993	4587883	9.0%	69254
13	Belfast International Airport	5262354	4546475	13.6%	68813
14	Aberdeen Airport	3290920	2984445	9.3%	109876
15	London City Airport	3260236	2796890	14.2%	76861
16	George Best Belfast City Airport	2570742	2621763	2.0%	39330
17	Leeds Bradford International Airport	2873321	2574426	10.4%	53817
18	Glasgow Prestwick Airport	2415755	1817727	24.8%	34230
19	Southampton Airport	1945993	1789901	8.0%	45502
20	Cardiff Airport	1994892	1631236	18.2%	27003
21	Jersey Airport	1625660	1491424	8.3%	64120
22	Guernsey Airport	945441	937391	0.9%	57634
23	Bournemouth Airport	1083446	870754	19.6%	82538
24	Doncaster Sheffield Airport	968481	835768	13.7%	10584
25	Exeter International Airport	956251	795721	16.8%	37562
26	Isle of Man Airport	754419	708127	6.1%	40539
27	Inverness Airport	678776	591397	12.9%	30290
28	Norwich International Airport	583056	430594	26.1%	42003
29	Newquay Airport	466448	386870	17.1%	12835
30	City of Derry Airport	439033	345857	21.2%	10286
31	Humberside Airport	427648	336649	21.3%	35060
32	Durham Tees Valley Airport	655017	289464	55.9%	25208
33	Blackpool Airport	439200	276866	36.9%	52575
34	Scatsta Airport	243087	270101	11.1%	14364
35	Plymouth City Airport	117823	157933	34.0%	19763
36	Kirkwall Airport	149508	150343	0.6%	15590
37	Sumburgh Airport	156948	140714	10.3%	12159
38	Stornoway Airport	131752	123199	6.5%	11627
39	St. Mary's Airport	122863	120909	4.0%	2126
40	Penzance Heliport	98360	85911	12.7%	5218
