Cyclist	Nationality	First win	Latest win	Total
Eddy Merckx Category:Articles with hCards	Belgium	1966	1976	19
Roger De Vlaeminck Category:Articles with hCards	Belgium	1970	1979	11
Costante Girardengo Category:Articles with hCards	Italy	1918	1928	9
Fausto Coppi Category:Articles with hCards	Italy	1946	1954	9
Sean Kelly Category:Articles with hCards	Ireland	1983	1992	9
Rik Van Looy Category:Articles with hCards	Belgium	1958	1965	8
Gino Bartali Category:Articles with hCards	Italy	1939	1950	7
Tom Boonen Category:Articles with hCards	Belgium	2005	2012	7
Henri Pélissier Category:Articles with hCards	France	1911	1921	6
Alfredo Binda Category:Articles with hCards	Italy	1925	1931	6
Fred De Bruyne Category:Articles with hCards	Belgium	1956	1959	6
Francesco Moser Category:Articles with hCards	Italy	1975	1984	6
Moreno Argentin Category:Articles with hCards	Italy	1985	1991	6
Johan Museeuw Category:Articles with hCards	Belgium	1993	2002	6
Fabian Cancellara Category:Articles with hCards	Switzerland	2006	2013	6
Gaetano Belloni Category:Articles with hCards	Italy	1915	1928	5
Rik Van Steenbergen Category:Articles with hCards	Belgium	1944	1954	5
Bernard Hinault Category:Articles with hCards	France	1977	1984	5
Michele Bartoli Category:Articles with hCards	Italy	1996	2003	5
Paolo Bettini Category:Articles with hCards	Italy	2000	2006	5
Gaston Rebry Category:Articles with hCards	Belgium	1931	1935	4
Alphonse Schepers Category:Articles with hCards	Belgium	1931	1935	4
Louison Bobet Category:Articles with hCards	France	1951	1956	4
Germain Derycke Category:Articles with hCards	Belgium	1953	1958	4
Felice Gimondi Category:Articles with hCards	Italy	1966	1974	4
Walter Godefroot Category:Articles with hCards	Belgium	1967	1978	4
Hennie Kuiper Category:Articles with hCards	Netherlands	1981	1985	4
Jan Raas Category:Articles with hCards	Netherlands	1977	1983	4
Erik Zabel Category:Articles with hCards	Germany	1997	2001	4
Octave Lapize Category:Articles with hCards	France	1909	1911	3
Giovanni Brunero Category:Articles with hCards	Italy	1922	1924	3
Romain Gijssels Category:Articles with hCards	Belgium	1931	1932	3
Achiel Buysse Category:Articles with hCards	Belgium	1940	1943	3
Fiorenzo Magni Category:Articles with hCards	Italy	1949	1951	3
Jo de Roo Category:Articles with hCards	Netherlands	1962	1965	3
Emile Daems Category:Articles with hCards	Belgium	1960	1963	3
Tom Simpson Category:Articles with hCards	United Kingdom	1961	1965	3
Eric Leman Category:Articles with hCards	Belgium	1970	1973	3
Peter Van Petegem Category:Articles with hCards	Belgium	1999	2003	3
Andrea Tafi Category:Articles with hCards	Italy	1996	2002	3
Andrei Tchmil Category:Articles with hCards	Belgium	1994	2000	3
Óscar Freire Category:Articles with hCards	Spain	2004	2010	3
Damiano Cunego Category:Articles with hCards	Italy	2004	2008	3
Philippe Gilbert Category:Articles with hCards	Belgium	2009	2011	3
