No.	Title	Directed by	Written by	Patient Portrayer	Original air date	Production code
1	"Pilot - McNamara/Troy"	Ryan Murphy	Ryan Murphy	Geoffrey Rivas	July22,2003	475194
2	"Mandi/Randi"	Ryan Murphy	Ryan Murphy	Caitlin and Melinda Dahl	July29,2003	176451
3	"Nanette Babcock"	Lawrence Trilling	Ryan Murphy	Lindsay Hollister	August5,2003	176452
4	"Sofia Lopez"	Michael M. Robin	Sean Jablonski	Jonathan Del Arco	August12,2003	176453
5	"Kurt Dempsey"	Elodie Keene	Lyn Greene & Richard Levine	Vincent Angell	August19,2003	176454
6	"Megan O'Hara"	Craig Zisk	Jennifer Salt	Julie Warner	September2,2003	176455
7	"Cliff Mantegna"	Scott Brazil	Brad Falchuk	Alex Carter	September9,2003	176456
8	"Cara Fitzgerald"	Jamie Babbit	Ryan Murphy	Keri Lynn Pratt	September16,2003	176457
9	"Sofia Lopez Part II"	Nelson McCormick	Sean Jablonski	Jonathan Del Arco	September23,2003	176458
10	"Adelle Coffin"	Michael M. Robin	Dell Chandler & Ryan Murphy	Nan Martin	September30,2003	176459
11	"Montana/Sassy/Justice"	Michael M. Robin	Lyn Greene & Richard Levine	Cheryl White	October7,2003	176460
12	"Antonia Ramos"	Elodie Keene	Jennifer Salt & Brad Falchuk	Marisol Nichols	October14,2003	176461
