Pick	Round	Player	Position	School
1	1	Vinny Testaverde	Quarterback	Miami (FL)
36	2 (from Buffalo)	Ricky Reynolds	Cornerback	Washington State
50	2 (from San Francisco)	Winston Moss	Linebacker	Miami (FL)
51	2 (from New England)	Don Smith	Running Back	Mississippi State
57	3	Mark Carrier	Wide Receiver	Nicholls State
0	Supplemental	Dan Sileo	Defensive Tackle	Miami (FL)
85	4	Don Graham	Linebacker	Penn State
87	4 (from Buffalo)	Ron Hall	Tight End	Hawaii
106	4 (from San Francisco)	Bruce Hill	Wide Receiver	Arizona State
135	5 (from New England)	Henry Rolling	Linebacker	Nevada
137	5 (from Washington)	Tony Mayes	Defensive Back	Kentucky
146	6 (from San Diego)	Steve Bartalo	Running Back	Colorado State
169	7	Curt Jarvis	Defensive Tackle	Alabama
190	7 (from New England)	Harry Swayne	Tackle	Rutgers
197	8 (from Indianapolis)	Stan Mataele	Defensive Tackle	Arizona
224	9	Joe Armentrout	Running Back	Wisconsin
246	9 (from New England)	Greg Davis	Kicker	Citadel
252	10	Mike Simmonds	Guard	Indiana State
280	11	Reggie Taylor	Running Back	Cincinnati
308	12	Scott Cooper	Defensive Tackle	Kearney State
313	12 (from St. Louis)	Mike Shula	Quarterback	Alabama
