Year	Player	Country	Score	Margin of victory	Winner's share ( $ )
2013	Matt Kuchar	United States	276 (−12)	2 strokes	1,160,000
2012	Tiger Woods (5)	United States	279 (−9)	2 strokes	1,160,000
2011	Steve Stricker	United States	272 (−16)	1 stroke	1,160,000
2010	Justin Rose	England	270 (−18)	3 strokes	1,080,000
2009	Tiger Woods (4)	United States	276 (−12)	1 stroke	1,080,000
2008	Kenny Perry (3)	United States	280 (−8)	2 strokes	1,080,000
2007	K.J. Choi	South Korea	271 (−17)	1 stroke	1,080,000
2006	Carl Pettersson	Sweden	276 (−12)	2 strokes	1,035,000
2005	Bart Bryant	United States	272 (−16)	1 stroke	990,000
2004	Ernie Els	South Africa	270 (−18)	4 strokes	945,000
2003	Kenny Perry (2)	United States	275 (−11)	2 strokes	900,000
2002	Jim Furyk	United States	274 (−14)	2 strokes	810,000
2001	Tiger Woods (3)	United States	271 (−17)	7 strokes	738,000
2000	Tiger Woods (2)	United States	269 (−19)	5 strokes	558,000
1999	Tiger Woods	United States	273 (−15)	2 strokes	459,000
1998	Fred Couples	United States	271 (−17)	4 strokes	396,000
1997	Vijay Singh	Fiji	202* (−14)	2 strokes	342,000
1996	Tom Watson (2)	United States	274 (−14)	2 strokes	324,000
1995	Greg Norman (2)	Australia	269 (−19)	4 strokes	306,000
1994	Tom Lehman	United States	268 (−20)	5 strokes	270,000
1993	Paul Azinger	United States	274 (−14)	1 stroke	252,000
1992	David Edwards	United States	273 (−15)	Playoff	234,000
1991	Kenny Perry	United States	273 (−15)	Playoff	216,000
1990	Greg Norman	Australia	216* (E)	1 stroke	180,000
1989	Bob Tway	United States	277 (−11)	2 strokes	160,000
1988	Curtis Strange	United States	274 (−14)	2 strokes	160,000
1987	Don Pooley	United States	272 (−16)	3 strokes	140,000
1986	Hal Sutton	United States	271 (−17)	4 strokes	100,000
1985	Hale Irwin (2)	United States	281 (−7)	1 stroke	100,000
1984	Jack Nicklaus (2)	United States	280 (−8)	Playoff	90,000
1983	Hale Irwin	United States	281 (−7)	1 stroke	72,000
1982	Raymond Floyd	United States	281 (−7)	2 strokes	63,000
1981	Keith Fergus	United States	284 (−4)	1 stroke	63,000
1980	David Graham	Australia	280 (−8)	1 stroke	54,000
1979	Tom Watson	United States	285 (−3)	3 strokes	54,000
1978	Jim Simons	United States	284 (−4)	1 stroke	50,000
1977	Jack Nicklaus	United States	281 (−7)	2 strokes	45,000
1976	Roger Maltbie	United States	288 (E)	Playoff	40,000
