Pick	AFL Team	Player	Position	College
1	Miami Dolphins	Jim Grabowski	Running Back	Illinois
2	Miami Dolphins	Rick Norton	Quarterback	Kentucky
3	Boston Patriots	Karl Singer	Offensive Tackle	Purdue
4	Denver Broncos	Jerry Shay	Offensive Tackle	Purdue
5	Houston Oilers	Tommy Nobis	Linebacker	Texas
6	Kansas City Chiefs	Aaron Brown	End	Minnesota
7	San Diego Chargers	Don Davis	Offensive Tackle	Cal State-LA
8	Buffalo Bills	Mike Dennis	Running Back	Ole 'Miss
9	New York Jets	Bill Yearby	Offensive Tackle	Michigan
10	Oakland Raiders	Rodger Bird	Running Back	Kentucky
