Driver	Constructor	Laps	Time/Retired	Grid
Fernando Alonso	Renault	56	1:31:33.736	1
Jarno Trulli	Toyota	56	+24.327	2
Nick Heidfeld	Williams - BMW	56	+32.188	10
Juan Pablo Montoya	McLaren - Mercedes	56	+41.631	11
Ralf Schumacher	Toyota	56	+51.854	5
David Coulthard	Red Bull - Cosworth	56	+1:12.543	8
Michael Schumacher	Ferrari	56	+1:19.988	13
Christian Klien	Red Bull - Cosworth	56	+1:20.835	7
Kimi Räikkönen	McLaren - Mercedes	56	+1:21.580	6
Felipe Massa	Sauber - Petronas	55	+1 Lap	14
Narain Karthikeyan	Jordan - Toyota	54	+2 Laps	17
Tiago Monteiro	Jordan - Toyota	53	+3 Laps	18
Christijan Albers	Minardi - Cosworth	52	+4 Laps	19
Rubens Barrichello	Ferrari	49	Handling	12
Giancarlo Fisichella	Renault	36	Collision	3
Mark Webber	Williams - BMW	36	Collision	4
Jacques Villeneuve	Sauber - Petronas	26	Spun Off	16
Jenson Button	BAR - Honda	2	Engine	9
Anthony Davidson	BAR - Honda	2	Engine	15
Patrick Friesacher	Minardi - Cosworth	2	Spun Off	20
