Poll Source	Dates administered	Democrat: Jill Long Thompson	Republican: Mitch Daniels	Lead Margin
Public Policy Polling	November 2, 2008	37%	60%	23
WSBT/South Bend Tribune	September 29–30, 2008	46%	47%	1
Survey USA	September 28–29, 2008	37%	53%	15
Rasmussen Reports	September 17–18, 2008	40%	56%	16
Indianapolis Star/ Selzer & Co.	September 14–16, 2008	42%	46%	4
Survey USA	August 16–18, 2008	38%	52%	12
TargetPoint Consulting	July 13–22, 2008	35%	53%	18
Real Clear Politics. Big Daniels Lead	June 22–29, 2008	36%	50%	14
Survey USA	June 21–23, 2008	45%	50%	5
Indiana Legislative Insight	May 27-June 1, 2008	35%	51%	16
Beneson Strategy Group	May 20–22, 2008	39%	46%	7
Downs Center/Survey USA	April 28–30, 2008	49%	46%	3
WISH-TV	April 23–24, 2008	45%	45%	0
Howey Gauge	April 23–24, 2008	36%	55%	19
Research 2000/ South Bend Tribune	April 21–24, 2008	45%	45%	0
Indianapolis Star/ Selzer & Company	April 20–23, 2008	44%	43%	1
SurveyUSA	April 14–16, 2008	47%	48%	1
Indianapolis Star/WTHR	November 13–16, 2007	44%	43%	1
