Week	Date	Opponent	Location	Time ( ET )	TV	Result	Record
1	Mon. Sep. 13	at Dallas Cowboys	Texas Stadium	9:00pm	ABC	W 36–28	1–0
2	Sun. Sep. 19	Cincinnati Bengals	Three Rivers Stadium	1:00pm	NBC	W 26–20 OT	2–0
3	Sun. Sep. 26	New York Giants	Three Rivers Stadium	1:00pm	CBS	Cancelled	2–0
4	Sun. Oct. 3	at Denver Broncos	Mile High Stadium	4:00pm	NBC	Cancelled	2–0
5	Mon. Oct. 11	Philadelphia Eagles	Three Rivers Stadium	9:00pm	ABC	Cancelled	2–0
6	Sun. Oct. 17	at Washington Redskins	RFK Stadium	1:00pm	NBC	Cancelled	2–0
7	Sun. Oct. 24	Cleveland Browns	Three Rivers Stadium	1:00pm	NBC	Postponed	2–0
8	Sun. Oct. 31	at Cincinnati Bengals	Riverfront Stadium	1:00pm	NBC	Cancelled	2–0
9	Sun. Nov. 7	Houston Oilers	Three Rivers Stadium	1:00pm	NBC	Cancelled	2–0
10	Sun. Nov. 14	New York Jets	Three Rivers Stadium	1:00pm	NBC	Cancelled	2–0
11	Sun. Nov. 21	at Houston Oilers	Astrodome	1:00pm	NBC	W 24–10	3–0
12	Sun. Nov. 28	at Seattle Seahawks	Kingdome	4:00pm	NBC	L 16–0	3–1
13	Sun. Dec. 5	Kansas City Chiefs	Three Rivers Stadium	1:00pm	NBC	W 35–14	4–1
14	Sun. Dec. 12	at Buffalo Bills	Rich Stadium	1:00pm	NBC	L 13–0	4–2
15	Sun. Dec. 19	at Cleveland Browns	Cleveland Municipal Stadium	1:00pm	NBC	L 10–9	4–3
16	Sun. Dec. 26	New England Patriots	Three Rivers Stadium	1:00pm	NBC	W 37–14	5–3
