District	Incumbent	Party	First elected	Result	Candidates
Illinois 2	Gus Savage	Democratic	1980	Re-elected	Gus Savage (D) 83.0% Dale F. Harman (R) 17.0%
Illinois 3	Marty Russo	Democratic	1974	Re-elected	Marty Russo (D) 64.4% Richard D. Murphy (R) 35.6%
Illinois 6	Henry Hyde	Republican	1974	Re-elected	Henry Hyde (R) 75.1% Robert H. Renshaw (D) 24.9%
Illinois 7	Cardiss Collins	Democratic	1973	Re-elected	Cardiss Collins (D) 78.4% James L. Bevel (R) 21.6%
Illinois 9	Sidney R. Yates	Democratic	1964	Re-elected	Sidney R. Yates (D) 67.5% Herbert Sohn (R) 32.5%
Illinois 10	John E. Porter	Republican	1980	Re-elected	John E. Porter (R) 72.6% Ruth C. Braver (D) 27.4%
Illinois 12	Phil Crane	Republican	1969	Re-elected	Phil Crane (R) 77.8% Edward J. LaFlamme (D) 22.2%
Illinois 14	Tom Corcoran	Republican	1976	Retired to run for U. S. Senate Republican hold	John E. Grotberg (R) 62.2% Dan McGrath (D) 37.8%
Illinois 17	Lane Evans	Democratic	1982	Re-elected	Lane Evans (D) 56.7% Kenneth G. McMillan (R) 43.3%
Illinois 19	Dan Crane	Republican	1978	Lost re-election Democratic gain	Terry L. Bruce (D) 52.3% Dan Crane (R) 47.7%
Illinois 20	Dick Durbin	Democratic	1982	Re-elected	Dick Durbin (D) 61.3% Richard G. Austin (R) 38.7%
Illinois 21	Melvin Price	Democratic	1944	Re-elected	Melvin Price (D) 60.2% Robert H. Gaffner (R) 39.8%
