City	2011 Estimate	2010 Census	2000 Census	County
Afton	1,906	1,911	1,818	Lincoln
Albin	183	181	120	Laramie
Alpine	826	828	550	Lincoln
Baggs	438	440	348	Carbon
Bairoil	107	106	97	Sweetwater
Bar Nunn	2,239	2,213	936	Natrona
Basin †	1,295	1,285	1,238	Big Horn
Bear River	514	518	—	Uinta
Big Piney	545	552	408	Sublette
Buffalo †	4,624	4,585	3,900	Johnson
Burlington	289	288	250	Big Horn
Burns	304	301	285	Laramie
Byron	598	593	557	Big Horn
Casper †	55,988	55,316	49,644	Natrona
Cheyenne ††	60,096	59,466	53,011	Laramie
Chugwater	216	212	244	Platte
Clearmont	143	142	115	Sheridan
Cody †	9,653	9,520	8,835	Park
Cokeville	533	535	506	Lincoln
Cowley	661	655	560	Big Horn
Dayton	760	757	678	Sheridan
Deaver	179	178	177	Big Horn
Diamondville	735	737	716	Lincoln
Dixon	96	97	79	Carbon
Douglas †	6,084	6,120	5,288	Converse
Dubois	982	971	962	Fremont
East Thermopolis	253	254	274	Hot Springs
Edgerton	198	195	169	Natrona
Elk Mountain	190	191	192	Carbon
Evanston †	12,282	12,359	11,507	Uinta
Evansville	2,577	2,544	2,255	Natrona
Fort Laramie	233	230	243	Goshen
Frannie	158	157	209	Park
Gillette †	29,389	29,087	19,646	Campbell
Glendo	207	205	229	Platte
Glenrock	2,562	2,576	2,231	Converse
Grand Encampment	446	450	443	Carbon
Granger	140	139	146	Sweetwater
Green River †	12,622	12,515	11,808	Sweetwater
Greybull	1,862	1,847	1,815	Big Horn
Guernsey	1,165	1,147	1,147	Platte
Hanna	835	841	873	Carbon
Hartville	63	62	76	Platte
Hudson	463	458	407	Fremont
Hulett	384	383	408	Crook
Jackson †	9,710	9,577	8,647	Teton
Kaycee	266	263	249	Johnson
Kemmerer †	2,651	2,656	2,651	Lincoln
Kirby	92	92	57	Hot Springs
La Barge	550	551	431	Lincoln
La Grange	452	448	332	Goshen
Lander †	7,571	7,487	6,867	Fremont
Laramie †	31,312	30,816	27,204	Albany
Lingle	474	468	510	Goshen
Lost Springs	4	4	1	Converse
Lovell	2,378	2,360	2,281	Big Horn
Lusk †	1,571	1,567	1,447	Niobrara
Lyman	2,102	2,115	1,938	Uinta
Manderson	114	114	104	Big Horn
Manville	95	95	101	Niobrara
Marbleton	1,084	1,094	720	Sublette
Medicine Bow	283	284	274	Carbon
Meeteetse	332	327	351	Park
Midwest	410	404	408	Natrona
Mills	3,504	3,461	2,591	Natrona
Moorcroft	1,013	1,009	807	Crook
Mountain View	1,279	1,286	1,153	Uinta
Newcastle †	3,485	3,532	3,065	Weston
Opal	97	96	102	Lincoln
Pavilion	233	231	165	Fremont
Pine Bluffs	1,140	1,129	1,153	Laramie
Pine Haven	492	490	222	Crook
Pinedale †	2,009	2,030	1,412	Sublette
Powell	6,393	6,314	5,373	Park
Ranchester	860	855	701	Sheridan
Rawlins †	9,203	9,259	8,538	Carbon
Riverside	52	52	59	Carbon
Riverton	10,867	10,615	9,310	Fremont
Rock River	249	245	235	Albany
Rock Springs	23,229	23,036	18,708	Sweetwater
Rolling Hills	434	440	449	Converse
Saratoga	1,678	1,690	1,726	Carbon
Sheridan †	17,517	17,444	15,804	Sheridan
Shoshoni	658	649	635	Fremont
Sinclair	431	433	423	Carbon
Star Valley Ranch	1,501	1,503	776	Lincoln
Sundance †	1,187	1,182	1,161	Crook
Superior	339	336	244	Sweetwater
Ten Sleep	258	260	304	Washakie
Thayne	365	366	341	Lincoln
Thermopolis †	3,001	3,009	3,172	Hot Springs
Torrington †	6,690	6,501	5,776	Goshen
Upton	1,084	1,100	872	Weston
Van Tassell	15	15	18	Niobrara
Wamsutter	455	451	261	Sweetwater
Wheatland †	3,680	3,627	3,548	Platte
Worland †	5,458	5,487	5,250	Washakie
Wright	1,826	1,807	1,347	Campbell
Yoder	153	151	169	Goshen
