Place	Player	Country	Score	To par
T1	John Daly	United States	67-71=138	–6
T1	Brad Faxon	United States	71-67=138	–6
T1	Katsuyoshi Tomori	Japan	70-68=138	–6
T4	Mark Brooks	United States	70-69=139	–5
T4	John Cook	United States	69-70=139	–5
T4	Ben Crenshaw	United States	67-72=139	–5
T4	Ernie Els	South Africa	71-68=139	–5
T4	Corey Pavin	United States	69-70=139	–5
T4	Costantino Rocca	Italy	69-70=139	–5
T10	Justin Leonard	United States	73-67=140	–4
T10	Vijay Singh	Fiji	68-72=140	–4
T10	Payne Stewart	United States	72-68=140	–4
