Place	Player	Country	Score	To par
1	Ben Curtis	United States	73-67-68=208	–2
T2	J. B. Holmes	United States	71-68-70=209	–1
T2	Henrik Stenson	Sweden	71-70-68=209	–1
T4	Sergio García	Spain	69-73-69=211	+1
T4	Pádraig Harrington	Ireland	71-74-66=211	+1
T4	Charlie Wi	South Korea	70-70-71=211	+1
T7	Andrés Romero	Argentina	69-78-65=212	+2
T7	Jeev Milkha Singh	India	68-74-70=212	+2
T9	Aaron Baddeley	Australia	71-71-71=213	+3
T9	Steve Flesch	United States	73-70-70=213	+3
T9	David Toms	United States	72-69-72=213	+3
T9	Camilo Villegas	Colombia	74-72=67=213	+3
