Rank	Club	Gold	Big Silver	Small Silver	Bronze	Points
1	Malmö FF	20	14	9	8	168
2	IFK Göteborg	13	11	16	9	139
3	IFK Norrköping	12	9	4	7	102
4	AIK	5	12	10	8	89
5	Helsingborgs IF	7	7	9	10	84
6	IF Elfsborg	6	6	6	6	66
7	Djurgårdens IF	7	3	9	3	65
8	GAIS	4	4	4	4	44
9	Östers IF	4	3	3	3	38
10	Örgryte IS	2	2	6	6	34
11	Halmstads BK	4	2	2	2	32
12	Kalmar FF	1	2	2	3	18
13	Åtvidabergs FF	2	2	0	1	17
14	Hammarby IF	1	2	2	2	17
15	Örebro SK	0	2	2	4	14
16	Degerfors IF	0	2	2	2	12
17	IK Sleipner	1	1	1	1	11
18	Landskrona BoIS	0	1	0	3	6
19	Sandvikens IF	0	0	1	3	5
20	BK Häcken	0	1	0	0	3
20	IFK Malmö	0	1	0	0	3
20	Jönköpings Södra IF	0	1	0	0	3
20	Råå IF	0	1	0	0	3
24	Trelleborgs FF	0	0	1	1	3
25	IK Brage	0	0	0	3	3
