Race	Circuit	Date	Pole position	Fastest lap	Winning driver	Constructor	Tyre	Report
South African Grand Prix	Kyalami	2 January	Jack Brabham	Denny Hulme	Pedro Rodríguez	Cooper - Maserati	F	Report
Monaco Grand Prix	Monaco	7 May	Jack Brabham	Jim Clark	Denny Hulme	Brabham - Repco	G	Report
Dutch Grand Prix	Zandvoort	4 June	Graham Hill	Jim Clark	Jim Clark	Lotus - Ford	F	Report
Belgian Grand Prix	Spa-Francorchamps	18 June	Jim Clark	Dan Gurney	Dan Gurney	Eagle - Weslake	G	Report
French Grand Prix	Le Mans Bugatti	2 July	Graham Hill	Graham Hill	Jack Brabham	Brabham - Repco	G	Report
British Grand Prix	Silverstone	15 July	Jim Clark	Denny Hulme	Jim Clark	Lotus - Ford	F	Report
German Grand Prix	Nürburgring	6 August	Jim Clark	Dan Gurney	Denny Hulme	Brabham - Repco	G	Report
Canadian Grand Prix	Mosport Park	27 August	Jim Clark	Jim Clark	Jack Brabham	Brabham - Repco	G	Report
Italian Grand Prix	Monza	10 September	Jim Clark	Jim Clark	John Surtees	Honda	F	Report
United States Grand Prix	Watkins Glen	1 October	Graham Hill	Graham Hill	Jim Clark	Lotus - Ford	F	Report
Mexican Grand Prix	Hermanos Rodríguez	22 October	Jim Clark	Jim Clark	Jim Clark	Lotus - Ford	F	Report
