Rank:	State:	Premier:	Party:	Assumed office:	Left office:	TOTAL Time in office:
1.	SA	Sir Thomas Playford (1896–1981) GCMG	Liberal & Country League	5 November 1938	10 March 1965	26years, 125days
2.	QLD	Sir Joh Bjelke-Petersen (1911–2005) KCMG	Country & National Parties of Australia	8 August 1968	1 December 1987	19years, 115days
3.	TAS	Sir Robert Cosgrove (1884–1969) KCMG	Australian Labor Party	18 December 1939	18 December 1947	18 years, 182 days
3.	TAS	Sir Robert Cosgrove (1884–1969) KCMG	Australian Labor Party	25 February 1948	26 August 1958	18 years, 182 days
4.	VIC	Sir Henry Bolte (1908–1990) GCMG	Liberal & Country League	7 June 1955	23 August 1972	17years, 47days
5.	TAS	Eric Reece (1909–1999) AC	Australian Labor Party	26 August 1958	26 May 1969	13 years, 240 days
5.	TAS	Eric Reece (1909–1999) AC	Australian Labor Party	3 May 1972	31 March 1975	13 years, 240 days
6.	WA	Sir David Brand (1908–1990) KCMG	Liberal Party of Australia	2 April 1959	3 March 1971	11years, 335days
7.	NSW	Sir Henry Parkes (1815–1896) GCMG	Liberalism	14 May 1872	8 February 1875	11 years, 278 days.
7.	NSW	Sir Henry Parkes (1815–1896) GCMG	Liberalism	22 March 1877	16 August 1877	11 years, 278 days.
7.	NSW	Sir Henry Parkes (1815–1896) GCMG	Liberalism	21 December 1878	4 January 1883	11 years, 278 days.
7.	NSW	Sir Henry Parkes (1815–1896) GCMG	Free Trade	25 January 1887	16 January 1889	11 years, 278 days.
7.	NSW	Sir Henry Parkes (1815–1896) GCMG	Free Trade	8 March 1889	23 October 1891	11 years, 278 days.
8.	VIC	Sir Albert Dunstan (1882–1950) KCMG	Country Party of Australia	2 April 1935	14 September 1943	10 years, 179 days
8.	VIC	Sir Albert Dunstan (1882–1950) KCMG	Country Party of Australia	18 September 1943	2 October 1945	10 years, 179 days
9.	QLD	Sir Francis Nicklin (1895–1978) KCMG , MM	Country Party of Australia	12 August 1957	17 January 1968	10years, 158days
10.	NSW	Bob Carr (1947– )	Australian Labor Party	4 April 1995	3 August 2005	10years, 121days
11.	QLD	William Forgan Smith (1897–1953)	Australian Labor Party	17 June 1932	16 September 1942	10years, 91days
12.	NSW	Neville Wran (1926– ) AC , CNZM , QC	Australian Labor Party	14 May 1976	4 July 1986	10years, 51days
13.	WA	Sir John Forrest (1847–1918) GCMG	No Party Alignment	29 December 1890	15 February 1901	10years, 48days
14.	SA	John Bannon (1943– ) AO	Australian Labor Party	10 November 1982	4 September 1992	9years, 299days
15.	NSW	Sir Robert Askin (1907–1981) GCMG	Liberal Party of Australia	13 May 1965	3 January 1975	9years, 235days
16.	SA	Mike Rann (1953– ) CNZM RP	Australian Labor Party	5 March 2002	21 October 2011	9years, 230days
17.	SA	Don Dunstan (1926–1999) AC , QC	Australian Labor Party	1 June 1967	17 April 1968	9 years, 214 days
17.	SA	Don Dunstan (1926–1999) AC , QC	Australian Labor Party	2 June 1970	15 February 1979	9 years, 214 days
18.	WA	Philip Collier (1873–1948)	Australian Labor Party	17 April 1924	23 April 1930	9 Years, 123 days
18.	WA	Philip Collier (1873–1948)	Australian Labor Party	24 April 1933	19 August 1936	9 Years, 123 days
19.	VIC	Sir James McCulloch (1819–1893) KCMG	No Party Alignment	27 June 1863	6 May 1868	9 years, 118 days
19.	VIC	Sir James McCulloch (1819–1893) KCMG	No Party Alignment	11 July 1868	20 September 1869	9 years, 118 days
19.	VIC	Sir James McCulloch (1819–1893) KCMG	No Party Alignment	9 April 1870	19 June 1871	9 years, 118 days
19.	VIC	Sir James McCulloch (1819–1893) KCMG	No Party Alignment	20 October 1875	21 May 1877	9 years, 118 days
20.	QLD	Peter Beattie (1952– ) AC	Australian Labor Party	20 June 1998	13 September 2007	9years, 85days
21.	WA	John Willcock (1879–1956)	Australian Labor Party	20 August 1936	31 July 1945	8years, 345days
