Week #	Theme	Song Choice	Original Artist	Order #	Result
Audition	Auditioner's Choice	"Bem Que Se Quis"	Marisa Monte	N/A	Advanced
Theater	First Solo	N/A	N/A	N/A	Advanced
Top 24	Top 12 Men	"Como Vai Você"	Roberto Carlos	7	Advanced
Top 12	Sing Your Idol	"Beija Eu"	Marisa Monte	4	Safe
Top 11	70s Night	"Mania de Você"	Rita Lee	10	Safe
Top 10	The Roguish	"Já Tive Mulheres"	Martinho da Vila	6	Safe
Top 9	Broken Heart Songs	"Tem Que Ser Você"	Victor & Léo	4	Bottom 3
Top 7	80s Night	"Você é Linda"	Caetano Veloso	2	Safe
Top 6	Cult Trash	"Aguenta Coração"	José Augusto	1	Safe
Top 5	Kings of the Pop	"Amor I Love You"	Marisa Monte	4	Safe
Top 5	Kings of the Pop	" Your Song "	Elton John	9	Safe
Top 4	Dedicate A Song	"Monalisa"	Jorge Vercilo	1	Safe
Top 4	My Soundtrack	" Eu Sei Que Vou Te Amar "	Tom Jobim	5	Safe
Top 3	Judge's Choice	"Pro Dia Nascer Feliz"	Cazuza	1	Safe
Top 3	Judge's Choice	"Fácil"	Jota Quest	4	Safe
Top 3	Judge's Choice	"O Portão"	Roberto Carlos	7	Safe
Top 2	Winner's Single #1	"Nova Paixão"	Saulo Roston	1	Winner
Top 2	Best of the Season	" Your Song "	Elton John	3	Winner
