Name	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	League Cup Apps	League Cup Goals	Total Apps	Total Goals
Les Chapman	MF	2 (8)	0	1	0	0	0	3 (8)	0
Trevor Cherry	DF	40	3	2	0	0	0	42	3
Dennis Clarke	DF	42	2	2	0	1	0	45	2
Colin Dobson	FW	31	9	1	0	1	0	33	9
Roy Ellam	DF	42	2	1	0	1	0	44	2
Brian Greenhalgh	FW	5	0	0	0	0	0	5	0
Bobby Hoy	MF	28	7	0	0	1	0	29	7
Geoff Hutt	DF	42	1	2	0	1	0	45	1
Dick Krzywicki	MF	5 (1)	4	0	0	0	0	5 (1)	4
Jimmy Lawson	MF	38 (2)	6	2	0	1	0	41 (2)	6
Jimmy McGill	MF	42	4	2	0	0	0	44	4
Ray Mielczarek	DF	0	0	1	0	1	0	2	0
Jimmy Nicholson	MF	42	3	2	0	1	0	45	3
Terry Poole	GK	42	0	2	0	1	0	45	0
Steve Smith	MF	19 (4)	5	2	1	1	0	22 (4)	6
Frank Worthington	FW	42	18	2	1	1	0	45	19
