Match Day	Date	Opponent	Score	Attendance	Report
1	4 August	Dundee United	0–1	12,496	BBC Sport
1	12 August	Heart of Midlothian	1–1	13,134	BBC Sport
3	19 August	Celtic	1–3	16,232	BBC Sport
4	25 August	Hibernian	3–3	15,280	BBC Sport
5	1 September	Kilmarnock	1–0	5,814	BBC Sport
6	15 September	Motherwell	1–2	10,154	BBC Sport
7	23 September	Rangers	0–3	49,046	BBC Sport
8	29 September	Gretna	2–0	10,279	BBC Sport
9	7 October	St. Mirren	4–0	12,841	BBC Sport
10	21 October	Inverness CT	2–1	6,023	BBC Sport
11	28 October	Falkirk	1–1	10,399	BBC Sport
12	3 November	Dundee United	2–0	11,964	BBC Sport
13	11 November	Heart of Midlothian	1–4	17,122	BBC Sport
14	24 November	Celtic	0–3	58,000	BBC Sport
15	2 December	Hibernian	3–1	10,110	BBC Sport
16	8 December	Kilmarnock	2–1	10,207	BBC Sport
17	15 December	Motherwell	0–3	5,326	BBC Sport
18	23 December	Rangers	1–1	17,798	BBC Sport
19	26 December	Gretna	1–1	1,730	BBC Sport
20	29 December	St. Mirren	1–0	5,025	BBC Sport
21	2 January	Inverness CT	1–0	18,372	BBC Sport
22	12 January	Falkirk	0–0	5,457	BBC Sport
23	19 January	Dundee United	0–3	8,579	BBC Sport
24	26 January	Heart of Midlothian	0–1	14,000	BBC Sport
25	10 February	Celtic	1–5	14,651	BBC Sport
26	16 February	Hibernian	1–3	13,825	BBC Sport
27	24 February	Kilmarnock	1–3	6,113	BBC Sport
28	27 February	Motherwell	1–1	8,240	BBC Sport
29	1 March	Rangers	1–3	50,066	BBC Sport
30	15 March	Gretna	3–0	9,025	BBC Sport
31	22 March	St. Mirren	1–1	9,779	BBC Sport
32	29 March	Inverness CT	4–3	5,655	BBC Sport
33	7 April	Falkirk	2–1	11,484	BBC Sport
34	19 April	Celtic	0–1	55,766	BBC Sport
35	26 April	Hibernian	2–1	8,387	BBC Sport
36	3 May	Dundee United	2–1	10,312	BBC Sport
37	10 May	Motherwell	1–2	8,574	BBC Sport
38	22 May	Rangers	2–0	17,509	BBC Sport
