Name	Pos.	Height	Weight	Date of Birth	Club
Stefano Tempesti	GK	m (ft 8in)	kg (lb)	1979-06-09	Pro Recco
Francesco Postiglione	D	m (ft 1in)	kg (lb)	1972-04-29	Circolo Nautico Posillipo
Leonardo Binchi	CB	m (ft 7in)	kg (lb)	1975-08-27	Leonessa Brescia
Fabrizio Buonocore	CB	m (ft 1in)	kg (lb)	1977-04-28	Circolo Nautico Posillipo
Marco Gerini	GK	m (ft 3in)	kg (lb)	1971-08-05	Leonessa Brescia
Roberto Calcaterra	CF	m (ft 1in)	kg (lb)	1972-02-06	Leonessa Brescia
Goran Fiorentini	D	m (ft 3in)	kg (lb)	1981-11-21	Leonessa Brescia
Alberto Angelini	D	m (ft 9in)	kg (lb)	1974-09-28	Pro Recco
Maurizio Felugo	D	m (ft 2in)	kg (lb)	1981-03-04	Circolo Nautico Posillipo
Alessandro Calcaterra	CF	m (ft 2in)	kg (lb)	1975-05-26	Chiavari Nuoto
Bogdan Rath	D	m (ft 11in)	kg (lb)	1972-06-28	Rari Nantes Savona
Carlo Silipo	D	m (ft 6in)	kg (lb)	1971-09-10	Circolo Nautico Posillipo
Fabio Bencivenga	CF	m (ft 7in)	kg (lb)	1976-01-20	Circolo Nautico Posillipo
Head Coach: Paolo de Crescenzo	Head Coach: Paolo de Crescenzo	Head Coach: Paolo de Crescenzo	Head Coach: Paolo de Crescenzo	Head Coach: Paolo de Crescenzo	Head Coach: Paolo de Crescenzo
