#	Airdate	No. of couples	1st couple	2nd couple	3rd couple	4th couple	Viewers (millions)	ITV1 weekly ranking
1	11 December 2010	3	Danny and Vicky	Adrian (n/a)	Alistair and Alisha	Iain and Fern	5.96	18
2	18 December 2010	3	James (n/a)	Dan and Alice	Samson and Amy	Silky and Holly-Jade	5.10	14
3	1 January 2011	3	Stuart and Pegah	Fabian and Kay	Darren and Laura	Kristen (n/a)	Under 3.05	Outside top 30
4	8 January 2011	4	Scott and Kieney	John and Lisa	Chi and Cheryl	David and Donna	3.98	29
5	15 January 2011	3	Harry and Joanne	David (n/a)	Richie and Tasha	Gary and Elle	4.27	23
6	22 January 2011	4	Brett and Viv	Ian and Becky	James and Abi-Scarlett	Rob and Tanya	4.44	18
7	29 January 2011	4	John and Kerry	Tez and Kayleigh	Dan and Dawn	Jake and Sami	4.29	18
8	5 February 2011	3	Dean and Maria	Rick and Megan	Robbie (n/a)	Richard and Jacqui	4.28	19
9	12 February 2011	3	Sam and Claire	Charles and Carol	Simon and Natalie	Stephen (n/a)	4.74	18
10	19 February 2011	3	Ryan and Luissa	Neil (n/a)	Dan and Krista	Dean and Jo-Jo	4.42	19
11	26 February 2011	4	Frankie and Nicole	Riccardo and Vikki	Michael and Julie	Sonny and Samantha H	4.82	18
12	5 March 2011	4	Dave and Lucy	Adam and Katie	Chris and Kate	Michael and Adele	5.03	17
13	12 March 2011	4	Anthony and Ellie	Matt and Samantha	Andrew and Peggy	Dan and Lauren	4.89	20
