Tie no	Home team	Score	Away team	Date
1	Chester City	0–1	Runcorn	14 November 1987
2	Barnet	0–1	Hereford United	14 November 1987
3	Bristol City	1–0	Aylesbury United	14 November 1987
4	Burnley	0–1	Bolton Wanderers	14 November 1987
5	Preston North End	1–1	Mansfield Town	14 November 1987
Replay	Mansfield Town	4–2	Preston North End	17 November 1987
6	Rochdale	0–2	Wrexham	14 November 1987
7	Sutton United	3–0	Aldershot	14 November 1987
8	Gillingham	2–1	Fulham	14 November 1987
9	Notts County	3–3	Chesterfield	15 November 1987
Replay	Chesterfield	0–1	Notts County	17 November 1987
10	Northwich Victoria	1–0	Colwyn Bay	14 November 1987
11	Macclesfield Town	4–2	Carlisle United	14 November 1987
12	Wolverhampton Wanderers	5–1	Cheltenham Town	14 November 1987
13	Sunderland	2–0	Darlington	14 November 1987
14	Lincoln City	2–1	Crewe Alexandra	14 November 1987
15	Scarborough	1–2	Grimsby Town	14 November 1987
16	Doncaster Rovers	1–1	Rotherham United	14 November 1987
Replay	Rotherham United	2–0	Doncaster Rovers	17 November 1987
17	Bishop Auckland	1–4	Blackpool	14 November 1987
18	Tranmere Rovers	2–2	Port Vale	14 November 1987
Replay	Port Vale	3–1	Tranmere Rovers	16 November 1987
19	Chorley	0–2	Hartlepool United	14 November 1987
20	Brentford	0–2	Brighton & Hove Albion	14 November 1987
21	Bristol Rovers	6–0	Merthyr Tydfil	14 November 1987
22	Northampton Town	2–1	Newport County	14 November 1987
23	Worcester City	1–1	Yeovil Town	14 November 1987
Replay	Yeovil Town	1–0	Worcester City	17 November 1987
24	Altrincham	0–2	Wigan Athletic	14 November 1987
25	Southend United	0–0	Walsall	14 November 1987
Replay	Walsall	2–1	Southend United	17 November 1987
26	Bognor Regis Town	0–3	Torquay United	14 November 1987
27	Scunthorpe United	3–1	Bury	14 November 1987
28	Halesowen Town	2–2	Kidderminster Harriers	14 November 1987
Replay	Kidderminster Harriers	4–0	Halesowen Town	16 November 1987
29	York City	0–0	Burton Albion	14 November 1987
Replay	Burton Albion	1–2	York City	17 November 1987
30	Hayes	0–1	Swansea City	14 November 1987
31	Billingham Synthonia	2–4	Halifax Town	14 November 1987
32	Peterborough United	2–1	Cardiff City	14 November 1987
33	Colchester United	3–0	Tamworth	14 November 1987
34	Chelmsford City	1–2	Bath City	14 November 1987
35	Leyton Orient	2–0	Exeter City	14 November 1987
36	Dagenham	0–2	Maidstone United	14 November 1987
37	Cambridge United	2–1	Farnborough Town	14 November 1987
38	Telford United	1–1	Stockport County	14 November 1987
Replay	Stockport County	2–0	Telford United	17 November 1987
39	VS Rugby	0–0	Atherstone United	14 November 1987
Replay	Atherstone United	0–2	VS Rugby	17 November 1987
40	Welling United	3–2	Carshalton Athletic	23 November 1987
