Week	Date	Opponent	Result	Attendance
1	September 6, 1998	at Chicago Bears	W 24–23	55,614
2	September 13, 1998	Kansas City Chiefs	W 21–16	69,821
3	September 20, 1998	Baltimore Ravens	W 24–10	67,069
4	September 27, 1998	at Tennessee Oilers	W 27–22	34,656
5	Bye	Bye	Bye	Bye
6	October 12, 1998	Miami Dolphins	W 28–21	74,051
7	October 18, 1998	at Buffalo Bills	L 17–16	77,635
8	October 25, 1998	at Denver Broncos	L 37–24	75,217
9	November 1, 1998	at Baltimore Ravens	W 45–19	68,915
10	November 8, 1998	Cincinnati Bengals	W 24–11	67,040
11	November 15, 1998	Tampa Bay Buccaneers	W 29–24	72,974
12	November 22, 1998	at Pittsburgh Steelers	L 30–15	59,124
13	November 29, 1998	at Cincinnati Bengals	W 34–17	55,432
14	December 6, 1998	Detroit Lions	W 37–22	70,717
15	December 13, 1998	Tennessee Oilers	L 16–13	65,657
16	December 20, 1998	at Minnesota Vikings	L 50–10	64,363
17	December 28, 1998	Pittsburgh Steelers	W 21–3	74,143
