Order	Name	Seasons	Games	Goals
965	David Spriggs Category:Articles with hCards	2000 – 2004	64	20
966	Danny O'Brien Category:Articles with hCards	2000	8	6
967	Daniel Foster Category:Articles with hCards	2000 – 2002	17	0
968	Cameron Ling Category:Articles with hCards	2000 – 2011	246	139
969	Paul Chapman Category:Articles with hCards	2000 – 2013	251	336
970	Joel Corey Category:Articles with hCards	2000 – 2013	276	79
971	Cameron Mooney Category:Articles with hCards	2000 – 2011	210	295
972	Marcus Baldwin Category:Articles with hCards	2000 – 2001	5	5
973	Justin Murphy Category:Articles with hCards	2001	18	9
974	Mitchell White Category:Articles with hCards	2001 – 2003	23	21
975	Corey Enright Category:Articles with hCards ^	2001 –present	266	54
976	Peter Street Category:Articles with hCards	2001 – 2003	17	3
977	Kent Kingsley Category:Articles with hCards	2001 – 2006	122	237
978	Josh Hunt Category:Articles with hCards	2001 – 2013	198	29
979	Gary Ablett, Jr. Category:Articles with hCards	2002 – 2010	192	262
980	Jimmy Bartel Category:Articles with hCards ^	2002 –present	249	164
981	Brent Grgic Category:Articles with hCards	2002 – 2003	13	3
982	David Johnson Category:Articles with hCards	2002 – 2009	79	16
983	Max Rooke Category:Articles with hCards	2002 – 2010	135	58
984	Paul Chambers Category:Articles with hCards	2002 – 2005	32	5
985	Steve Johnson ^	2002 –present	215	405
986	James Kelly Category:Articles with hCards ^	2002 –present	233	87
987	Charlie Gardiner Category:Articles with hCards	2002 – 2007	51	25
988	Will Slade Category:Articles with hCards	2002 – 2006	17	2
989	Matthew McCarthy Category:Articles with hCards	2003 – 2006	22	24
990	Brent Moloney Category:Articles with hCards	2003 – 2004	23	6
991	Henry Playfair Category:Articles with hCards	2003 – 2007	52	29
992	Tim Callan Category:Articles with hCards	2003 – 2006	15	3
993	David Haynes Category:Articles with hCards	2004 – 2005	19	15
994	Kane Tenace Category:Articles with hCards	2004 – 2009	59	12
995	Andrew Mackie Category:Articles with hCards ^	2004 –present	198	85
996	David Loats Category:Articles with hCards	2004	1	0
997	Shannon Byrnes Category:Articles with hCards	2004 – 2012	108	100
998	Paul Koulouriotis Category:Articles with hCards	2004 – 2006	18	4
999	Matthew Egan Category:Articles with hCards	2005 – 2007	59	1
1000	Brad Ottens Category:Articles with hCards	2005 – 2011	116	109
1001	Cameron Thurley Category:Articles with hCards	2005	7	12
1002	Tom Lonergan Category:Articles with hCards ^	2005 –present	122	51
1003	Mark Blake Category:Articles with hCards	2005 – 2010	99	12
1004	Nathan Ablett Category:Articles with hCards	2005 – 2007	32	46
1005	Brent Prismall Category:Articles with hCards	2006 – 2008	25	15
1006	Mathew Stokes Category:Articles with hCards ^	2006 –present	155	192
1007	Matthew Spencer Category:Articles with hCards	2006	2	0
1008	Ryan Gamble Category:Articles with hCards	2006 – 2010	24	31
1009	Joel Selwood Category:Articles with hCards ^	2007 –present	160	91
1010	Tom Hawkins Category:Articles with hCards ^	2007 –present	123	218
1011	Travis Varcoe Category:Articles with hCards ^	2007 –present	115	121
1012	Trent West Category:Articles with hCards	2008 – 2013	54	23
1013	Harry Taylor Category:Articles with hCards ^	2008 –present	136	38
1014	Shane Mumford Category:Articles with hCards	2008 – 2009	21	3
1015	Simon Hogan Category:Articles with hCards	2009 – 2012	22	10
1016	Nathan Djerrkura Category:Articles with hCards	2009 – 2010	4	0
1017	Tom Gillies Category:Articles with hCards	2009 – 2012	13	1
1018	Jeremy Laidler Category:Articles with hCards	2009 – 2010	2	0
