Elector	Nationality	Order	Title	Elevated	Elevator
Bentivenga da Bentivengi , O.F.M.	Acquasparta	Cardinal-bishop	Bishop of Albano	March 12, 1278	Nicholas III
Latino Malabranca Orsini , O.P.	Roman	Cardinal-bishop	Bishop of Ostia e Velletri	March 12, 1278	Nicholas III
Bernard de Languissel	French	Cardinal-bishop	Bishop of Porto e Santa Rufina	April 12, 1281	Martin IV
Giovanni Boccamazza	Roman	Cardinal-bishop	Bishop of Frascati	December 22, 1285	Honorius IV
Gerardo Bianchi	Parma	Cardinal-bishop	Bishop of Sabina	March 12, 1278	Nicholas III
Girolamo Masci , O.F.M.	Ascoli	Cardinal-bishop	Bishop of Palestrina	March 12, 1278	Nicholas III
Jean Cholet	French	Cardinal-priest	Title of S. Cecilia	April 12, 1281	Martin IV
Matteo Orsini Rosso	Roman	Cardinal-deacon	Deacon of S. Maria in Portico	May 22, 1262	Urban IV
Giacomo Colonna	Roman	Cardinal-deacon	Deacon of S. Maria in Via Lata	March 12, 1278	Nicholas III
Benedetto Caetani, seniore	Anagni	Cardinal-deacon	Deacon of S. Nicola in Carcere Tulliano	April 12, 1281	Martin IV
Goffredo da Alatri †	Alatri	Cardinal-deacon	Deacon of S. Giorgio in Velabro	December 17, 1261	Urban IV
Giordano Orsini †	Roman	Cardinal-deacon	Deacon of S. Eustachio	March 12, 1278	Nicholas III
Hugh of Evesham †	English	Cardinal-priest	Title of S. Lorenzo in Lucina	April 12, 1281	Martin IV
Gervais Jeancolet de Clinchamp †	French	Cardinal-priest	Title of Ss. Silvestro e Martino ai Monti	April 12, 1281	Martin IV
Glusiano de Casate †	ese Milan	Cardinal-priest	Title of Ss. Marcellino e Pietro	April 12, 1281	Martin IV
Geoffroy de Bar †	French	Cardinal-priest	Title of S. Susanna	April 12, 1281	Martin IV
