Player	Pos.	Nationality	Previous team	Years of NBA experience [a ]	Career with the franchise
Dennis Awtrey Category:Articles with hCards	C	United States	Chicago Bulls	4	— [b ]
Jim Barnett Category:Articles with hCards	G/F	United States	Golden State Warriors	8	1974–1975
Walt Bellamy Category:Articles with hCards ^	C	United States	Atlanta Hawks	13	1974
John Block Category:Articles with hCards +	F/C	United States	Kansas City-Omaha Kings	8	1974
Barry Clemens Category:Articles with hCards	F	United States	Cleveland Cavaliers	9	— [b ]
E. C. Coleman Category:Articles with hCards	F	United States	Houston Rockets	1	1974 – 1977
Lamar Green Category:Articles with hCards	F/C	United States	Phoenix Suns	5	1974
Nate Hawthorne Category:Articles with hCards	G	United States	Los Angeles Lakers	1	— [b ]
Ollie Johnson Category:Articles with hCards	F	United States	Portland Trail Blazers	2	1974–1975
Bob Kauffman Category:Articles with hCards +	F/C	United States	Buffalo Braves	6	— [b ]
Toby Kimball Category:Articles with hCards	F/C	United States	Philadelphia 76ers	8	1974
Steve Kuberski Category:Articles with hCards	F/C	United States	Boston Celtics	5	— [b ]
Stu Lantz Category:Articles with hCards	G	United States	Detroit Pistons	6	1974
Dean Meminger Category:Articles with hCards	G	United States	New York Knicks	3	— [b ]
Louie Nelson Category:Articles with hCards	G	United States	Washington Bullets	1	1974 – 1976
Curtis Perry Category:Articles with hCards	F	United States	Milwaukee Bucks	4	— [b ]
Isaac Stallworth Category:Articles with hCards	G/F	United States	Seattle SuperSonics	2	1974 – 1977
