Game	December	Opponent	Score	Record
26	1	Washington Capitals	4 - 1	11-11-4
27	4	@ Minnesota North Stars	11 - 4	12-11-4
28	5	Toronto Maple Leafs	5 - 5	12-11-5
29	8	St. Louis Blues	4 - 4	12-11-6
30	11	@ Toronto Maple Leafs	4 - 1	12-12-6
31	12	Montreal Canadiens	5 - 2	13-12-6
32	14	@ New York Islanders	4 - 4	13-12-7
33	16	@ Buffalo Sabres	7 - 2	13-13-7
34	18	@ Chicago Black Hawks	3 - 3	13-13-8
35	19	Cleveland Barons	3 - 2	14-13-8
36	22	Philadelphia Flyers	3 - 3	14-13-9
37	23	@ Boston Bruins	3 - 3	14-13-10
38	26	New York Islanders	2 - 1	14-14-10
39	28	@ Washington Capitals	5 - 2	15-14-10
40	31	Atlanta Flames	4 - 2	15-15-10
