-	Date	Time (CST)	Opponent	Location	TU Points	Opp. Points	Record
1	13 Nov 09	5:30 p.m.	vs Louisiana-Monroe	Fogelman Arena	86	52	1-0
2	20 Nov 09	3:45 p.m.	vs Liberty	Annapolis, MD	52	63	1-1
3	21 Nov 09	6:00 p.m.	vs Loyola (MD)	Annapolis, MD	58	43	2–1
4	25 Nov 09	7:00 p.m.	vs LSU	Fogelman Arena	73	65	2-2
5	1 Dec 09	7:00 p.m.	at South Alabama	Mobile, AL	73	71	3-2
6	4 Dec 09	7:00 p.m.	vs Prairie View A&M	Fogelman Arena	67	63	4-2
7	5 Dec 09	3:30 p.m.	vs Longwood	New Orleans, LA (Lakefront Arena)	73	58	5-2
8	28 Nov 09	6:00 p.m.	at USF	Tampa, FL	76	72	6-2
9	20 Dec 09	2:00 p.m.	vs Stephen F. Austin	Fogelman Arena	84	51	7-2
10	22 Dec 09	7:00 p.m.	vs McNeese State	Fogelman Arena	75	45	8-2
11	28 Dec 09	6:00 p.m.	vs Long Island	Fogelman Arena	82	59	9-2
12	29 Dec 09	8:00 p.m.	vs Texas Tech	Fogelman Arena	67	49	10-2
13	4 Jan 10	7:00 p.m.	at Southeastern Louisiana	Hammond, LA	81	45	11-2
14	8 Jan 10	7:00 p.m.	vs Houston*	Fogelman Arena	68	70	11–3
15	10 Jan 10	1:00 p.m.	vs Rice*	Fogelman Arena	82	60	12-3
16	15 Jan 10	7:00 p.m.	at Tulsa*	Tulsa, OK	58	55	13-3
17	17 Jan 10	2:00 p.m.	at SMU*	Dallas, TX	59	70	13-4
18	23 Jan 10	2:00 p.m.	vs Southern Miss*	Fogelman Arena	80	63	14-4
19	28 Jan 10	7:00 p.m.	vs UTEP*	Fogelman Arena	57	47	15-4
20	31 Jan 10	1:00 p.m.	at UCF*	Orlando, FL	72	70	16-4
21	5 Feb 10	7:00 p.m.	vs Tulsa*	Fogelman Arena	67	80	16-5
22	7 Feb 10	1:00 p.m.	vs SMU*	Fogelman Arena	78	59	17-5
23	11 Feb 10	6:00 p.m.	at Marshall*	Huntington, WV	64	54	18-5
24	13 Feb 10	12:00 p.m.	at East Carolina*	Greenville, NC	56	51	19-5
25	18 Feb 10	7:00 p.m.	vs Memphis*	Fogelman Arena	86	61	20-5
26	20 Feb 10	4:00 p.m.	vs UAB*	Fogelman Arena	64	56	21-5
27	25 Feb 10	7:00 p.m.	at Rice*	Houston, TX	81	69	22-5
28	27 Feb 10	2:00 p.m.	at Houston*	Houston, TX	74	62	22-6
