Club	Location	Stadium	Capacity	Manager
FC Haka	Valkeakoski	Tehtaan kenttä	3,516	Olli Huttunen
HJK	Helsinki	Finnair Stadium	10,770	Antti Muurinen
FC Honka	Espoo	Tapiolan Urheilupuisto	6,000	Mika Lehkosuo
FC Inter	Turku	Veritas Stadion	10,000	Job Dragtsma
FF Jaro	Jakobstad	Jakobstads Centralplan	5,000	Mika Laurikainen
FC KooTeePee	Kotka	Arto Tolsa Areena	4,780	Tommi Kautonen
KuPS	Kuopio	Magnum Areena	3,500	Kai Nyyssönen
FC Lahti	Lahti	Lahden Stadion	15,000	Ilkka Mäkelä
IFK Mariehamn	Mariehamn	Wiklöf Holding Arena	1,600	Pekka Lyyski
MYPA	Anjalankoski	Saviniemi	4,067	Janne Lindberg
RoPS	Rovaniemi	Keskuskenttä	4,000	Valeri Bondarenko
Tampere United	Tampere	Ratina Stadion	17,000	Ari Hjelm
TPS	Turku	Veritas Stadion	10,000	John Allen
VPS	Vaasa	Hietalahti Stadium	4,600	Tomi Kärkkäinen
