Year	Location	Class 1	Best UK team	Class 1-200	Class 3	Class 1a
1998	MIRA	University of Texas at Arlington	University of Birmingham	n/a	n/a	n/a
1999	NEC Birmingham	Rochester Institute of Technology	Leeds University	n/a	University of Maribor	n/a
2000	NEC Birmingham	CSU Pomona	University of Hertfordshire	n/a	University of Huddersfield	n/a
2001	NEC Birmingham	Georgia Institute of Technology	Leeds University	University of Birmingham	University of Bath	n/a
2002	Bruntingthorpe	Georgia Institute of Technology	Brunel University	University of Hertfordshire	University of Florence	n/a
2003	Bruntingthorpe	University of Toronto	Oxford Brookes University	Helsinki Polytechnic Stadia	Swansea University	n/a
2004	Bruntingthorpe	RMIT University	Oxford Brookes University	UAS Stralsund	University of Bath	n/a
2005	Bruntingthorpe	University of Toronto	University of Hertfordshire	Swansea University	University of Bath	n/a
2006	Bruntingthorpe	University of Toronto	Oxford Brookes University	University of Hertfordshire	Instituto Superior Técnico	n/a
2007	Silverstone	RMIT University	University of Bath	University of Hertfordshire	University of Hertfordshire	n/a
2008	Silverstone	University of Stuttgart	University of Bath	University of Hertfordshire	Eindhoven University of Technology	University of Hertfordshire
2009	Silverstone	University of Stuttgart	University of Bath	TU Munich	Isfahan University of Technology	University of Hertfordshire
2010	Silverstone	TU Munich	University of Hertfordshire	n/a	Instituto Superior Técnico	ETH Zurich
Year	Location	Class 1	Best UK team	Class 1a	Class 2	Class 2a
2011	Silverstone	University of Stuttgart	University of Hertfordshire	Delft University of Technology	University of Bath	University of Warwick
Year	Location	Class 1	Best UK team	Dynamic Events Winner	Static Events Winner	Class 2
2012	Silverstone	Chalmers University of Technology	Oxford Brookes University	TU Munich	Monash University	Instituto Superior Técnico
