Date	Opponent	Score	Loss	Attendance	Record
August 1	Tigers	8 - 5	Borkowski (0-2)	30,105	59-48
August 2	@ Yankees	3 - 1	Wells (11-7)	40,825	59-49
August 3	@ Yankees	3 - 1	Cone (10-6)	43,110	60-49
August 4	@ Yankees	8 - 3	Escobar (9-8)	52,833	60-50
August 6	@ Rangers	5 - 4	Zimmerman (9-1)	31,664	61-50
August 7	@ Rangers	6 - 0	Hentgen (7-8)	40,329	61-51
August 8	@ Rangers	8 - 7	Venafro (3-2)	32,374	62-51
August 9	@ Rangers	19 - 4	Morgan (12-7)	23,235	63-51
August 10	@ Twins	10 - 6	Radke (8-11)	15,842	64-51
August 11	@ Twins	6 - 3	Milton (4-9)	15,777	65-51
August 12	@ Twins	3 - 0	Hentgen (7-9)	21,206	65-52
August 13	Athletics	9 - 8	Halladay (8-5)	34,150	65-53
August 14	Athletics	13 - 5	Hamilton (5-7)	37,113	65-54
August 15	Athletics	9 - 5	Escobar (10-9)	34,677	65-55
August 16	Mariners	7 - 5	Carpenter (9-6)	29,308	65-56
August 17	Mariners	8 - 5	Hentgen (7-10)	30,137	65-57
August 18	Mariners	5 - 1	Wells (11-8)	38,224	65-58
August 20	@ Athletics	11 - 0	Oquist (9-8)	13,335	66-58
August 21	@ Athletics	8 - 4	Carpenter (9-7)	26,282	66-59
August 22	@ Athletics	4 - 3	Koch (0-2)	23,907	66-60
August 23	@ Athletics	9 - 4	Appier (12-11)	10,047	67-60
August 24	@ Angels	5 - 1	Ortiz (1-1)	21,492	68-60
August 25	@ Angels	7 - 2	Finley (8-11)	21,592	69-60
August 27	Rangers	8 - 2	Carpenter (9-8)	30,181	69-61
August 28	Rangers	9 - 7	Wells (12-9)	31,117	69-62
August 29	Rangers	4 - 2	Halladay (8-6)	30,502	69-63
August 30	Twins	2 - 1	Ryan (0-2)	22,137	70-63
August 31	Twins	14 - 3	Hamilton (7-8)	23,136	70-64
