Rider	Manufacturer	Laps	Time/Retired	Grid
Marco Melandri	Aprilia	26	42:52.922	2
Franco Battaini	Aprilia	26	+2.962	1
Fonsi Nieto	Aprilia	26	+5.213	5
Roberto Rolfo	Honda	26	+6.290	3
Roberto Locatelli	Aprilia	26	+6.675	7
Randy de Puniet	Aprilia	26	+8.102	4
Emilio Alzamora	Honda	26	+22.571	11
Sebastián Porto	Yamaha	26	+24.171	12
Alex Debón	Aprilia	26	+28.161	9
David Checa	Aprilia	26	+36.261	14
Naoki Matsudo	Yamaha	26	+47.211	10
Jason Vincent	Honda	26	+47.886	22
Haruchika Aoki	Honda	26	+53.106	13
Dirk Heidolf	Aprilia	26	+1:02.767	20
Leon Haslam	Honda	26	+1:04.093	18
Toni Elías	Aprilia	26	+1:13.435	15
Jarno Janssen	Honda	25	+1 lap	24
Héctor Faubel	Aprilia	25	Accident	17
Shahrol Yuzy	Yamaha	25	Accident	16
Raúl Jara	Aprilia	9	Accident	6
Casey Stoner	Aprilia	2	Accident	8
Hugo Marchand	Aprilia	1	Retirement	23
Vincent Philippe	Aprilia	1	Accident	21
Taro Sekiguchi	Yamaha	0	Accident	19
