Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
3	November 1	Oklahoma City	W 89–77 (OT)	Tracy McGrady (22)	Carl Landry , Yao Ming (11)	Tracy McGrady (5)	Toyota Center 16,996	3–0
4	November 4	Boston	L 99–103 (OT)	Tracy McGrady (26)	Luis Scola (9)	Rafer Alston (7)	Toyota Center 18,291	3–1
5	November 6	@ Portland	L 99–101 (OT)	Tracy McGrady (30)	Tracy McGrady , Chuck Hayes (7)	Tracy McGrady (8)	Rose Garden 20,611	3–2
6	November 7	@ L.A. Clippers	W 92–83 (OT)	Ron Artest (23)	Carl Landry , Yao Ming (9)	Rafer Alston (8)	Staples Center 14,670	4–2
7	November 9	@ L.A. Lakers	L 82–111 (OT)	Aaron Brooks (20)	Luis Scola (9)	Aaron Brooks , Tracy McGrady (4)	Staples Center 18,997	4–3
8	November 12	@ Phoenix	W 94–82 (OT)	Tracy McGrady (27)	Yao Ming (15)	Rafer Alston (4)	US Airways Center 18,422	5–3
9	November 14	@ San Antonio	L 75–77 (OT)	Ron Artest (18)	Aaron Brooks , Yao Ming (8)	Tracy McGrady (5)	AT&T Center 18,797	5–4
10	November 15	New Orleans	W 91–82 (OT)	Yao Ming (21)	Luis Scola (10)	Ron Artest (7)	Toyota Center 18,303	6–4
11	November 17	@ Oklahoma City	W 100–89 (OT)	Luis Scola (23)	Yao Ming (12)	Aaron Brooks (4)	Ford Center 18,145	7–4
12	November 19	Dallas	L 86–96 (OT)	Rafer Alston , Tracy McGrady (16)	Ron Artest (13)	Rafer Alston (8)	Toyota Center 18,203	7–5
13	November 21	@ Washington	W 103–91 (OT)	Tracy McGrady (20)	Ron Artest (9)	Ron Artest (6)	Verizon Center 20,173	8–5
14	November 22	@ Orlando	W 100–95 (OT)	Yao Ming (22)	Yao Ming (13)	Rafer Alston (7)	Amway Arena 17,461	9–5
15	November 24	@ Miami	W 107–98 (OT)	Yao Ming (28)	Luis Scola (13)	Yao Ming , Tracy McGrady (4)	American Airlines Arena 18,704	10–5
16	November 26	Indiana	L 90–91 (OT)	Ron Artest , Yao Ming (19)	Luis Scola (18)	Rafer Alston (7)	Toyota Center 18,194	10–6
17	November 29	San Antonio	W 103–84 (OT)	Luther Head (21)	Ron Artest (8)	Rafer Alston (6)	Toyota Center 18,282	11–6
