Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Betws RFC	20	18	0	2	727	243	111	29	14	2	88
Ystradgynlais RFC	20	18	0	2	667	200	107	24	15	1	88
Alltwen RFC	20	15	1	4	434	237	55	21	7	1	70
New Dock Stars RFC	20	11	1	8	367	318	51	38	5	4	55
Pontardawe RFC	20	10	0	10	441	381	64	51	9	4	53
Trebanos RFC	20	10	1	9	441	404	51	58	5	4	51
Glais RFC	20	9	0	11	293	325	36	42	4	5	45
Gowerton RFC	20	7	0	13	313	468	38	69	2	4	34
Cwmtwrch RFC	20	5	2	13	261	406	28	58	0	4	28
Swansea Uplands RFC	20	2	1	17	197	574	28	89	1	2	13
Bynea RFC	20	2	0	18	139	724	21	111	1	1	10
