Position	Drivers	Entrant	Class	Laps
1	Gregg Hansford Neil Crompton	BP Mazda Motorsport	X	262
2	Peter Fitzgerald Jim Richards Nicolas Leutwiler	Falken Tyres / Hardie Dux	X	262
3	Brad Jones Brett Peters Geoff Morgan	Falken Tyres / Hardie Dux	X	258
4	Juan Manuel Fangio II Neal Bates Rick Bates	Rick Bates	S	249
5	John Smith Jason Bargwanna Scott Bargwanna	Mercantile Mutual Dealer Team	S	248
6	Dick Johnson Steven Johnson Danny Osborne	Dick Johnson Racing	V	245
7	John Bourke Matthew Martin Wayne Park	John Bourke	T	245
8	Graham Neilsen Bill Gillespie Keith Carling	Falken Tyres	X	245
9	Andrew Wilson Russell Becker Chris Walker	Andrew Wilson	S	241
10	John Trimbole Ron Barnacle	Metropolis City Promotions	T	241
11	Andrew Solness Gary Merlino Michael Craig	Andrew Solness	T	239
12	Mark Brame Henry Draper Barry Devlin	Mark Brame	A	237
13	Kevin Burton Richard Vorst Darren Pate	Kevin Burton	V	236
14	John Morriss Phil Morriss Craig Lowndes	John Morriss	B	236
15	Chris Wiles Glenn Clark	Chris Wiles	A	235
16	Ron Masing Rod Jones	Ron Masing	T	235
17	Mark Ferrier Neal Robson Phillip Parsons	Mark Ferrier	A	235
18	Bill Harris Glenn Jordan Paul Wilken	P Wilken	A	235
19	Phil Alexander Warren Rush Geoff Forshaw	Procar Racing Pty Ltd	B	235
20	Chris Sexton Alan Letcher	Chris Sexton	V	234
21	Mal Rose Ian Luff	Fairfax Community Newspapers	V	233
22	Terry Skene Chis Madden	Spirit of Logan	V	230
23	Brian Callaghan Michelle Callaghan Chris Symonds	Brian Callaghan Jnr	A	229
24	Bob Griffin Ken Neale Ray Vincent	David Little	V	226
25	Peter Brock Tony Scott	Volvo Car Australia	T	225
26	Peter McLeod Peter Dane Des Wall	Peter McLeod	X	225
27	Bill Seiders Jeff Edwards Paul Flottman	Sydney Allen Printers	C	217
28	Martin Welsh Keith McCulloch Dennis Rogers	Procar Racing Pty Ltd	B	211
29	David Sala Steve Swaine Peter Vorst	David Sala	V	210
30	Steve Hardman Smith Keith Forbes	Steve Hardman	A	209
31	Bevan Purcell Troy Curling	Bevan Purcell	B	165
DNF	Murray Carter Ed Lamont Damon Beck	Murray Carter	B	225
DNF	Danny Bogut Cameron McConville	Danny Bogut	B	218
DNF	Kent Youlden John English Terry Shiel	Volvo Car Australia	B	199
DNF	Rod Wilson Andrew Newton John Pollard	Rod Wilson	S	191
DNF	Garry Waldon Mark Skaife	BP Mazda Motorsport	X	168
DNF	Ken Douglas Phil Kirkham	Rebound Sportswear	B	159
DNF	George Santana Carl Schembri	Revolution Racegear	S	131
DNF	Colin Osborne Kevin Bryn Tony Regan	Colin Osborne	A	125
DNF	Gary Hinton Kurt Kratzmann Briely	G Hinton	T	122
DNF	Alan Jones John Bowe Neville Crichton	Neville Crichton	X	120
DNF	Peter Hopwood Terry Bosnjak Warwick Rooklyn	Peter Hopwood	X	120
DNF	Brian Wilshire Gerard McConkey Graham Gulson	Murray Carter	B	114
DNF	Heather Baillie Gwenda Searle	Rick Bates	S	112
DNF	Dennis Cribben Ryan McLeod Geoff Fickling	Peter McLeod	B	110
DNF	Richard Wilson Troy Nicholson Roland Hill	Richard Wilson	V	101
DNF	Chris Kousparis Paul Barrett Anthony Wilson	Nepean EFI	B	99
DNF	Geoff Full Richard Shaw Jim Baird	Colin Osborne	A	94
DNF	Alf Grant Tim Grant	Alf Grant Racing	X	87
DNF	Tom Watkinson Terry Lewis Graham Blanch	Tom Watkinson	A	75
DNF	Harry Bargwanna Chris Symmons	Larry King	B	72
DNF	Calvin Gardiner Mike Conway Peter Verheyan	Acme Photo Video	S	71
DNF	Jim Faneco Bryan Sala George Parkinson	James Faneco	T	66
DNF	Craig Dare Chris Clearihan	Craig Dare	T	25
