Callsign	Network	City of License	D ERP	Owner / Operator
XHBD	Canal de las Estrellas	Aguascalientes, Aguascalientes	•	Televimex ( Zacatecas )
XEWO	Canal de las Estrellas	Calvillo, Aguascalientes	•	Televimex ( Guadalajara )
XHAG	Canal 5	Calvillo, Aguascalientes	•	Televimex ( Aguascalientes )
XHAE	Galavisión	Parras de la Fuente, Coahuila	•	Cadena Televisora del Norte ( Saltillo )
XHRCG	Televisa Local	Parras de la Fuente, Coahuila	•	Individual ( Saltillo )
XHCNL	Televisa Local	Saltillo, Coahuila	•	TV MTY ( Monterrey )
XHWX	Azteca 13	Saltillo, Coahuila	•	TV Azteca ( Monterrey )
XHX	Canal de las Estrellas	Saltillo, Coahuila	•	Televimex ( Monterrey )
XHAW	Multimedios	Saltillo, Coahuila	•	Grupo Multimedios ( Monterrey )
XHBZ	Canal de las Estrellas	Manzanillo, Colima	•	Televimex ( Colima )
XEZ	Canal de las Estrellas	Guanajuato, Guanajuato	•	Televimex ( Querétaro )
XHZ	Canal 5	Guanajuato, Guanajuato	•	Televimex ( Querétaro )
XHCCG	Azteca 7	León, Guanajuato	•	TV Azteca ( Celaya )
XHMAS	Azteca 13	León, Guanajuato	•	TV Azteca ( Celaya )
XEZ	Canal de las Estrellas	San Miguel de Allende, Guanajuato	•	Televimex ( Querétaro )
XHZ	Canal 5	San Miguel de Allende, Guanajuato	•	Televimex ( Querétaro )
XEX	Canal 5	Pachuca, Hidalgo	•	Televimex ( Altzomoni )
XHTM	Canal de las Estrellas	Pachuca, Hidalgo	•	Televimex ( Altzomoni )
XHCC	Canal 5	Ciudad Guzman, Jalisco	•	XHCC Television ( Colima )
XHBZ	Canal de las Estrellas	Ciudad Guzman, Jalisco	•	Televimex ( Colima )
XEX	Canal 5	Tejupilco de Hidalgo, Mexico	•	Televimex ( Altzomoni )
XEX	Canal 5	Temascaltepec de González, Mexico	•	Televimex ( Altzomoni )
XEQ	Galavisión	Toluca, México	•	Televimex ( Distrito Federal )
XHTOL	Canal de las Estrellas	Valle de Bravo, México	•	Televimex ( Toluca )
XEX	Canal 5	Cuernavaca, Morelos	•	Televimex ( Altzomoni )
XHTM	Canal de las Estrellas	Cuernavaca, Morelos	•	Televimex ( Altzomoni )
XHSAW	Milenio TV	Monterrey, Nuevo León	100kW	Television Digital
XHX	Canal de las Estrellas	Sabinas Hidalgo, Nuevo León	•	Televimex
XEX	Canal 5	Puebla, Puebla	•	Televimex ( Altzomoni )
XHTM	Canal de las Estrellas	Puebla, Puebla	•	Televimex ( Altzomoni )
XHATZ	Galavisión	Puebla, Puebla	•	Radiotelevisora de Mexico Norte ( Altzomoni )
XEX	Canal 5	San Martin Texmelucan, Puebla	•	Televimex ( Altzomoni )
XHI	Televisa local	Los Mochis, Sinaloa	•	Televisoras Grupo Pacifico ( Ciudad Obregón )
XHBS	Canal de las Estrellas	Ciudad Obregón, Sonora	•	TV de Los Mochis
XEX	Canal 5	Tlaxcala, Tlaxcala	•	Televimex ( Altzomoni )
XHTM	Canal de las Estrellas	Tlaxcala, Tlaxcala	•	Televimex ( Altzomoni )
XHPUR	Azteca 13	Tlaxcala, Tlaxcala	•	TV Azteca ( Puebla )
XHAJ	Canal 5	Orizaba, Veracruz	•	Televimex ( Las Lajas )
XHAH	Canal de las Estrellas	Orizaba, Veracruz	•	Televimex ( Las Lajas )
XHAJ	Canal 5	San Andres Tuxtla, Veracruz	•	Televimex ( Las Lajas )
XHBD	Canal de las Estrellas	Concepción de Oro, Zacatecas	•	Televimex ( Zacatecas )
XHBQ	Canal 5	Concepción de Oro, Zacatecas	•	Televimex ( Zacatecas )
