Tie no	Home team	Score	Away team	Date
1	Enfield	2–0	Hastings United	21 November 1981
2	Chesterfield	4–1	Preston North End	21 November 1981
3	Darlington	2–2	Carlisle United	21 November 1981
Replay	Carlisle United	3–1	Darlington	24 November 1981
4	Bournemouth	1–0	Reading	21 November 1981
5	Bristol City	0–0	Torquay United	20 November 1981
Replay	Torquay United	1–2	Bristol City	25 November 1981
6	Burnley	0–0	Runcorn	21 November 1981
Replay	Runcorn	1–2	Burnley	24 November 1981
7	Dorchester Town	3–3	Minehead	21 November 1981
Replay	Minehead	0–4	Dorchester Town	23 November 1981
8	Rochdale	2–2	Hull City	21 November 1981
Replay	Hull City	2–2	Rochdale	24 November 1981
Replay	Hull City	1–0	Rochdale	30 November 1981
9	Weymouth	0–0	Northampton Town	21 November 1981
Replay	Northampton Town	6–2	Weymouth	24 November 1981
10	Lincoln City	2–2	Port Vale	21 November 1981
Replay	Port Vale	0–0	Lincoln City	30 November 1981
Replay	Port Vale	2–0	Lincoln City	2 December 1981
11	Stafford Rangers	1–2	York City	21 November 1981
12	Swindon Town	2–1	Taunton Town	21 November 1981
13	Sheffield United	2–2	Altrincham	21 November 1981
Replay	Altrincham	3–0	Sheffield United	23 November 1981
14	Bishop Auckland	4–1	Nuneaton Borough	21 November 1981
15	Tranmere Rovers	1–1	Bury	21 November 1981
Replay	Bury	3–1	Tranmere Rovers	24 November 1981
16	Stockport County	3–1	Mossley F.C.	21 November 1981
17	Dover	0–2	Oxford United	21 November 1981
18	Brentford	2–0	Exeter City	21 November 1981
19	Bristol Rovers	1–2	Fulham	21 November 1981
20	Portsmouth	1–1	Millwall	21 November 1981
Replay	Millwall	3–2	Portsmouth	25 November 1981
21	Plymouth Argyle	0–0	Gillingham	21 November 1981
Replay	Gillingham	1–0	Plymouth Argyle	24 November 1981
22	Penrith	1–0	Chester	21 November 1981
23	Scunthorpe United	1–0	Bradford City	21 November 1981
24	Blyth Spartans	1–2	Walsall	21 November 1981
25	Bedford Town	0–2	Wimbledon	21 November 1981
26	Mansfield Town	0–1	Doncaster Rovers	21 November 1981
27	Halifax Town	0–3	Peterborough United	21 November 1981
28	Workington	1–1	Huddersfield Town	21 November 1981
Replay	Huddersfield Town	5–0	Workington	24 November 1981
29	Hereford United	3–1	Southend United	21 November 1981
30	Bishop's Stortford	2–2	Sutton United	21 November 1981
Replay	Sutton United	2–1	Bishop's Stortford	24 November 1981
31	Bideford	1–2	Barking	21 November 1981
32	Aldershot	2–0	Leytonstone/Ilford	21 November 1981
33	Horden CW	0–1	Blackpool	21 November 1981
34	Wigan Athletic	2–2	Hartlepool United	21 November 1981
Replay	Hartlepool United	1–0	Wigan Athletic	25 November 1981
35	Boston United	0–1	Kettering Town	21 November 1981
36	Harlow Town	0–0	Barnet	21 November 1981
Replay	Barnet	1–0	Harlow Town	24 November 1981
37	Colchester United	2–0	Newport County	21 November 1981
38	Hendon	1–1	Wycombe Wanderers	21 November 1981
Replay	Wycombe Wanderers	2–0	Hendon	24 November 1981
39	Dagenham	2–2	Yeovil Town	21 November 1981
Replay	Yeovil Town	0–1	Dagenham	25 November 1981
40	Willenhall Town	0–1	Crewe Alexandra	21 November 1981
